kind,ticker,name,form,filed,accession,captured_at
transfer_pricing,ELSE,ELECTRO SENSORS INC  (ELSE)  (CIK 0000351789),8-K/A,2026-04-27,0000897101-26-000148:a04242026_ex2-1.htm,2026-04-27T22:53:01Z
sanctions_compliance,,AB Private Credit Investors Corp  (CIK 0001634452),8-K,2026-04-27,0001193125-26-182303:d38186dex101.htm,2026-04-27T22:53:01Z
ofac,FCUV,FOCUS UNIVERSAL INC.  (FCUV)  (CIK 0001590418),8-K,2026-04-27,0001683168-26-003231:focus_ex1001.htm,2026-04-27T22:53:01Z
ofac,,"Miluna Acquisition Corp  (MMTX, MMTXU, MMTXW)  (CIK 0002077033)",8-K,2026-04-27,0001493152-26-019055:ex2-1.htm,2026-04-27T22:53:01Z
foreign_subsidiary,BSY,BENTLEY SYSTEMS INC  (BSY)  (CIK 0001031308),8-K,2026-04-27,0001104659-26-049444:tm2612602d1_ex10-1.htm,2026-04-27T22:53:01Z
foreign_subsidiary,SITE,"SiteOne Landscape Supply, Inc.  (SITE)  (CIK 0001650729)",8-K,2026-04-27,0001104659-26-048750:tm2612680d1_ex10-1.htm,2026-04-27T22:53:01Z
foreign_subsidiary,MSDL,Morgan Stanley Direct Lending Fund  (MSDL)  (CIK 0001782524),8-K,2026-04-27,0001193125-26-182043:d100787dex101.htm,2026-04-27T22:53:01Z
transfer_pricing,,Apollo Asset Backed Credit Co LLC  (CIK 0002000597),8-K,2026-04-24,0001193125-26-177675:ck0002000597-ex10_1.htm,2026-04-27T22:53:01Z
transfer_pricing,,Apollo Asset Backed Credit Co LLC  (CIK 0002000597),8-K,2026-04-24,0001193125-26-177675:ck0002000597-ex3_1.htm,2026-04-27T22:53:01Z
sanctions_compliance,,"STATE STREET CORP  (STT, STT-PG)  (CIK 0000093751)",8-K,2026-04-24,0001193125-26-177253:d339097dex11.htm,2026-04-27T22:53:01Z
rare_earth,,"Inflection Point Acquisition Corp. III  (IPCX, IPCXR, IPCXU)  (CIK 0002012318)",8-K,2026-04-24,0001213900-26-047623:ea0287687-8k_inflect3.htm,2026-04-27T22:53:01Z
ofac,,"STATE STREET CORP  (STT, STT-PG)  (CIK 0000093751)",8-K,2026-04-24,0001193125-26-177253:d339097dex11.htm,2026-04-27T22:53:01Z
foreign_subsidiary,UCTT,"Ultra Clean Holdings, Inc.  (UCTT)  (CIK 0001275014)",8-K,2026-04-24,0000950103-26-006157:dp245610_ex1001.htm,2026-04-27T22:53:01Z
foreign_subsidiary,PDFS,PDF SOLUTIONS INC  (PDFS)  (CIK 0001120914),8-K,2026-04-24,0001437749-26-013337:ex_950183.htm,2026-04-27T22:53:01Z
foreign_subsidiary,AVEX,AEVEX Corp.  (AVEX)  (CIK 0002096300),8-K,2026-04-24,0001193125-26-177298:d108131dex101.htm,2026-04-27T22:53:01Z
transfer_pricing,CBRE,"CBRE GROUP, INC.  (CBRE)  (CIK 0001138118)",8-K,2026-04-23,0001138118-26-000013:cbre-20260423x8kexx991.htm,2026-04-27T22:53:01Z
transfer_pricing,AMP,AMERIPRISE FINANCIAL INC  (AMP)  (CIK 0000820027),8-K,2026-04-23,0000820027-26-000020:q12026er.htm,2026-04-27T22:53:01Z
rare_earth,USAR,"USA Rare Earth, Inc.  (USAR)  (CIK 0001970622)",8-K,2026-04-23,0001213900-26-047158:ea0287456-8k_usarare.htm,2026-04-27T22:53:01Z
rare_earth,LMT,LOCKHEED MARTIN CORP  (LMT)  (CIK 0000936468),8-K,2026-04-23,0001628280-26-026683:ex991q12026.htm,2026-04-27T22:53:01Z
ofac,JCAP,"Jefferson Capital, Inc. / DE  (JCAP)  (CIK 0002046042)",8-K,2026-04-23,0001104659-26-047776:tm2612554d1_ex10-1.htm,2026-04-27T22:53:01Z
ofac,GPRE,Green Plains Inc.  (GPRE)  (CIK 0001309402),8-K,2026-04-23,0001309402-26-000045:exhibit101-secondamendment.htm,2026-04-27T22:53:01Z
ofac,DVLT,Datavault AI Inc.  (DVLT)  (CIK 0001682149),8-K,2026-04-23,0001104659-26-047677:tm2612479d1_ex10-1.htm,2026-04-27T22:53:01Z
ofac,,"Athena Technology Acquisition Corp. II  (ATEK, ATEKU, ATEKW)  (CIK 0001882198)",8-K,2026-04-23,0001213900-26-047101:ea028748701ex10-1.htm,2026-04-27T22:53:01Z
ofac,,"GENERATION INCOME PROPERTIES, INC.  (GIPR, GIPRW)  (CIK 0001651721)",8-K,2026-04-23,0001193125-26-173959:gipr-ex10_1.htm,2026-04-27T22:53:01Z
ofac,,"Prologis, L.P.  (CIK 0001045610)",8-K,2026-04-23,0001104659-26-047277:tm2611977d7_ex1-1.htm,2026-04-27T22:53:01Z
foreign_subsidiary,,"FGI Industries Ltd.  (FGI, FGIWW)  (CIK 0001864943)",8-K,2026-04-23,0001628280-26-026841:fgi-20260420.htm,2026-04-27T22:53:01Z
foreign_subsidiary,APPS,"Digital Turbine, Inc.  (APPS)  (CIK 0000317788)",8-K,2026-04-23,0001628280-26-026827:firstamendment-exhibit10.htm,2026-04-27T22:53:01Z
foreign_subsidiary,PAYC,"Paycom Software, Inc.  (PAYC)  (CIK 0001590955)",8-K,2026-04-23,0001193125-26-173704:payc-ex10_1.htm,2026-04-27T22:53:01Z
transfer_pricing,AZZ,AZZ INC  (AZZ)  (CIK 0000008947),8-K,2026-04-22,0000008947-26-000069:exhibit991q4fy26earningsre.htm,2026-04-27T22:53:01Z
transfer_pricing,AMRX,"Amneal Pharmaceuticals, Inc.  (AMRX)  (CIK 0001723128)",8-K,2026-04-22,0001193125-26-168231:d126526dex21.htm,2026-04-27T22:53:01Z
