kind,ticker,name,form,filed,accession,captured_at
work_stoppage,,"XOMA Royalty Corp  (XOMA, XOMAO, XOMAP)  (CIK 0000791908)",8-K,2026-04-27,0001193125-26-179085:d139894dex21.htm,2026-04-27T22:52:38Z
work_stoppage,,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)  (CIK 0000886163)",8-K,2026-04-27,0001193125-26-179529:d143046dex21.htm,2026-04-27T22:52:38Z
work_stoppage,,"Miluna Acquisition Corp  (MMTX, MMTXU, MMTXW)  (CIK 0002077033)",8-K,2026-04-27,0001493152-26-019055:ex2-1.htm,2026-04-27T22:52:38Z
collective_bargaining,SSD,"Simpson Manufacturing Co., Inc.  (SSD)  (CIK 0000920371)",8-K,2026-04-27,0001628280-26-027513:q12026ex991pressrelease.htm,2026-04-27T22:52:38Z
collective_bargaining,SSD,"Simpson Manufacturing Co., Inc.  (SSD)  (CIK 0000920371)",8-K,2026-04-27,0001628280-26-027513:exhibit992ssdinvestorpre.htm,2026-04-27T22:52:38Z
collective_bargaining,ELSE,ELECTRO SENSORS INC  (ELSE)  (CIK 0000351789),8-K/A,2026-04-27,0000897101-26-000148:a04242026_ex2-1.htm,2026-04-27T22:52:38Z
work_stoppage,PALX,Palomino Laboratories Inc.  (PALX)  (CIK 0001938569),8-K,2026-04-24,0001493152-26-018963:ex4-1.htm,2026-04-27T22:52:38Z
work_stoppage,PEBO,PEOPLES BANCORP INC  (PEBO)  (CIK 0000318300),8-K,2026-04-24,0000318300-26-000145:exhibit21.htm,2026-04-27T22:52:38Z
labor_strike,ALTS,ALT5 Sigma Corp  (ALTS)  (CIK 0000862861),8-K,2026-04-24,0001493152-26-018994:ex10-138.htm,2026-04-27T22:52:38Z
collective_bargaining,PEBO,PEOPLES BANCORP INC  (PEBO)  (CIK 0000318300),8-K,2026-04-24,0000318300-26-000145:exhibit21.htm,2026-04-27T22:52:38Z
work_stoppage,,"Athena Technology Acquisition Corp. II  (ATEK, ATEKU, ATEKW)  (CIK 0001882198)",8-K,2026-04-23,0001213900-26-047101:ea028748701ex10-1.htm,2026-04-27T22:52:38Z
labor_strike,,"GCI Liberty, Inc.  (GLIBA, GLIBB, GLIBK)  (CIK 0002057463)",8-K,2026-04-23,0001104659-26-047805:tm2612513d1_ex2-1.htm,2026-04-27T22:52:38Z
collective_bargaining,WKC,WORLD KINECT CORP  (WKC)  (CIK 0000789460),8-K,2026-04-23,0000789460-26-000023:a2026q18-kexx991earnings.htm,2026-04-27T22:52:38Z
collective_bargaining,,"GCI Liberty, Inc.  (GLIBA, GLIBB, GLIBK)  (CIK 0002057463)",8-K,2026-04-23,0001104659-26-047805:tm2612513d1_ex2-1.htm,2026-04-27T22:52:38Z
collective_bargaining,,"Rexford Industrial Realty, Inc.  (REXR, REXR-PB, REXR-PC)  (CIK 0001571283)",8-K,2026-04-23,0001571283-26-000017:ex141codeofbusinessconduct.htm,2026-04-27T22:52:38Z
work_stoppage,TH,Target Hospitality Corp.  (TH)  (CIK 0001712189),8-K,2026-04-22,0001104659-26-046359:tm269315d1_ex1-1.htm,2026-04-27T22:52:38Z
