kind,ticker,cik,company,file_date,accession_id,captured_at
settlement,OPY,0000791963,OPPENHEIMER HOLDINGS INC,2026-04-27,0001628280-26-027280,2026-04-27T22:50:55Z
settlement,GNLN,0001743745,"Greenlane Holdings, Inc.",2026-04-27,0001493152-26-019078,2026-04-27T22:50:55Z
sec_investigation,XOMA,0000791908,XOMA Royalty Corp,2026-04-27,0001193125-26-179085,2026-04-27T22:50:55Z
sec_investigation,LGND,0000886163,LIGAND PHARMACEUTICALS INC,2026-04-27,0001193125-26-179529,2026-04-27T22:50:55Z
hsr_clearance,XOMA,0000791908,XOMA Royalty Corp,2026-04-27,0001193125-26-179085,2026-04-27T22:50:55Z
hsr_clearance,OGN,0001821825,Organon & Co.,2026-04-27,0001193125-26-178718,2026-04-27T22:50:55Z
hsr_clearance,LGND,0000886163,LIGAND PHARMACEUTICALS INC,2026-04-27,0001193125-26-179529,2026-04-27T22:50:55Z
hsr_clearance,,,Cleco Corporate Holdings LLC  (CIK 0001089819),2026-04-27,0001089819-26-000004,2026-04-27T22:50:55Z
settlement,TOON,0001355848,"Kartoon Studios, Inc.",2026-04-24,0001683168-26-003182,2026-04-27T22:50:55Z
settlement,NUWE,0001506492,"Nuwellis, Inc.",2026-04-24,0001140361-26-016755,2026-04-27T22:50:55Z
settlement,MKTW,0001805651,"MARKETWISE, INC.",2026-04-24,0001805651-26-000038,2026-04-27T22:50:55Z
hsr_clearance,SKYT,0001819974,"SkyWater Technology, Inc",2026-04-24,0001193125-26-177666,2026-04-27T22:50:55Z
hsr_clearance,IONQ,0001824920,"IonQ, Inc.",2026-04-24,0000950142-26-001187,2026-04-27T22:50:55Z
hsr_clearance,HLX,0000866829,HELIX ENERGY SOLUTIONS GROUP INC,2026-04-24,0001140361-26-016767,2026-04-27T22:50:55Z
settlement,WKHS,0001425287,Workhorse Group Inc.,2026-04-23,0001628280-26-026832,2026-04-27T22:50:55Z
settlement,PCG,0001004980,PG&E Corp,2026-04-23,0001004980-26-000032,2026-04-27T22:50:55Z
settlement,AVNI,0001113313,ARVANA INC,2026-04-23,0001713282-26-000073,2026-04-27T22:50:55Z
sec_investigation,CABO,0001632127,"Cable One, Inc.",2026-04-23,0001632127-26-000018,2026-04-27T22:50:55Z
hsr_clearance,TBRG,0001169445,"TruBridge, Inc.",2026-04-23,0001193125-26-172139,2026-04-27T22:50:55Z
hsr_clearance,RBA,0001046102,RB GLOBAL INC.,2026-04-23,0001104659-26-047775,2026-04-27T22:50:55Z
hsr_clearance,GLIBA,0002057463,"GCI Liberty, Inc.",2026-04-23,0001104659-26-047805,2026-04-27T22:50:55Z
settlement,CRSF,0000924396,Crisp Momentum Inc.,2026-04-22,0001493152-26-018587,2026-04-27T22:50:55Z
settlement,,,Oak Woods Acquisition Corp  (CIK 0001945422),2026-04-22,0001213900-26-046306,2026-04-27T22:50:55Z
hsr_clearance,WTRG,0000078128,"Essential Utilities, Inc.",2026-04-22,0001552781-26-000266,2026-04-27T22:50:55Z
hsr_clearance,NHI,0000877860,NATIONAL HEALTH INVESTORS INC,2026-04-22,0000877860-26-000117,2026-04-27T22:50:55Z
hsr_clearance,NHC,0001047335,NATIONAL HEALTHCARE CORP,2026-04-22,0001437749-26-012953,2026-04-27T22:50:55Z
hsr_clearance,AMRX,0001723128,"Amneal Pharmaceuticals, Inc.",2026-04-22,0001193125-26-168231,2026-04-27T22:50:55Z
hsr_clearance,ONTO,0000704532,ONTO INNOVATION INC.,2026-04-21,0001193125-26-164529,2026-04-27T22:50:55Z
hsr_clearance,NHI,0000877860,NATIONAL HEALTH INVESTORS INC,2026-04-21,0000877860-26-000106,2026-04-27T22:50:55Z
hsr_clearance,BRC,0000746598,BRADY CORP,2026-04-21,0000746598-26-000014,2026-04-27T22:50:55Z
class_action,PCOK,0001452936,"Pacific Oak Strategic Opportunity REIT, Inc.",2026-04-21,0001452936-26-000021,2026-04-27T22:50:55Z
settlement,GTII,0000356590,"GLOBAL TECH INDUSTRIES GROUP, INC.",2026-04-20,0001493152-26-017979,2026-04-27T22:50:55Z
hsr_clearance,USAR,0001970622,"USA Rare Earth, Inc.",2026-04-20,0001213900-26-045339,2026-04-27T22:50:55Z
hsr_clearance,QXO,0001236275,"QXO, Inc.",2026-04-20,0001104659-26-045111,2026-04-27T22:50:55Z
hsr_clearance,CVGW,0001133470,CALAVO GROWERS INC,2026-04-20,0001193125-26-162551,2026-04-27T22:50:55Z
hsr_clearance,BLD,0001633931,TopBuild Corp,2026-04-20,0001104659-26-045245,2026-04-27T22:50:55Z
hsr_clearance,AVO,0001802974,"Mission Produce, Inc.",2026-04-20,0001193125-26-162671,2026-04-27T22:50:55Z
hsr_clearance,TPH,0001561680,"Tri Pointe Homes, Inc.",2026-04-17,0001193125-26-160387,2026-04-27T22:50:55Z
settlement,ATOS,0001488039,"ATOSSA THERAPEUTICS, INC.",2026-04-16,0001193125-26-158030,2026-04-27T22:50:55Z
hsr_clearance,ESE,0000866706,ESCO TECHNOLOGIES INC,2026-04-16,0001104659-26-044425,2026-04-27T22:50:55Z
hsr_clearance,EHAB,0001803737,"Enhabit, Inc.",2026-04-16,0001193125-26-159105,2026-04-27T22:50:55Z
settlement,VISM,0001082733,"VISIUM TECHNOLOGIES, INC.",2026-04-15,0001654954-26-003548,2026-04-27T22:50:55Z
settlement,MCHX,0001224133,MARCHEX INC,2026-04-15,0001193125-26-157030,2026-04-27T22:50:55Z
settlement,GWRS,0001434728,"Global Water Resources, Inc.",2026-04-15,0001628280-26-025290,2026-04-27T22:50:55Z
settlement,EQR,0000906107,EQUITY RESIDENTIAL,2026-04-15,0001193125-26-157146,2026-04-27T22:50:55Z
hsr_clearance,SR,0001126956,SPIRE INC,2026-04-15,0001193125-26-155936,2026-04-27T22:50:55Z
hsr_clearance,LDOS,0001336920,"Leidos Holdings, Inc.",2026-04-15,0001193125-26-155884,2026-04-27T22:50:55Z
settlement,WLK,0001262823,WESTLAKE CORP,2026-04-14,0001193125-26-153703,2026-04-27T22:50:55Z
settlement,SEV,0001786471,Aptera Motors Corp,2026-04-14,0001493152-26-016473,2026-04-27T22:50:55Z
settlement,ACOG,0001655923,Alpha Cognition Inc.,2026-04-14,0001213900-26-043517,2026-04-27T22:50:55Z
sec_investigation,LCID,0001811210,"Lucid Group, Inc.",2026-04-14,0001104659-26-042847,2026-04-27T22:50:55Z
hsr_clearance,AVNS,0001606498,"AVANOS MEDICAL, INC.",2026-04-14,0001606498-26-000046,2026-04-27T22:50:55Z
class_action,RENT,0001468327,"Rent the Runway, Inc.",2026-04-14,0001468327-26-000018,2026-04-27T22:50:55Z
hsr_clearance,ULS,0001901440,UL Solutions Inc.,2026-04-13,0001193125-26-152920,2026-04-27T22:50:55Z
hsr_clearance,SGI,0001206264,SOMNIGROUP INTERNATIONAL INC.,2026-04-13,0001206264-26-000048,2026-04-27T22:50:55Z
hsr_clearance,LEG,0000058492,LEGGETT & PLATT INC,2026-04-13,0001193125-26-151966,2026-04-27T22:50:55Z
settlement,RLBY,0000034285,RELIABILITY INC,2026-04-10,0001493152-26-016224,2026-04-27T22:50:55Z
settlement,WGRX,0002030763,"Wellgistics Health, Inc.",2026-04-09,0001493152-26-015898,2026-04-27T22:50:55Z
settlement,CPT,0000906345,CAMDEN PROPERTY TRUST,2026-04-09,0001628280-26-024527,2026-04-27T22:50:55Z
class_action,NUAI,0002028336,"New ERA Energy & Digital, Inc.",2026-04-08,0001213900-26-041499,2026-04-27T22:50:55Z
class_action,AL,0001487712,AIR LEASE CORP,2026-04-08,0001193125-26-147571,2026-04-27T22:50:55Z
settlement,LXU,0000060714,"LSB INDUSTRIES, INC.",2026-04-07,0001193125-26-145611,2026-04-27T22:50:55Z
settlement,LRHC,0001879403,La Rosa Holdings Corp.,2026-04-06,0001213900-26-040164,2026-04-27T22:50:55Z
settlement,HWKE,0001750777,"Hawkeye Systems, Inc.",2026-04-06,0001683168-26-002690,2026-04-27T22:50:55Z
hsr_clearance,SLNO,0001484565,SOLENO THERAPEUTICS INC,2026-04-06,0001193125-26-142911,2026-04-27T22:50:55Z
hsr_clearance,NBIX,0000914475,NEUROCRINE BIOSCIENCES INC,2026-04-06,0001193125-26-142904,2026-04-27T22:50:55Z
hsr_clearance,MKC,0000063754,MCCORMICK & CO INC,2026-04-06,0001999371-26-007671,2026-04-27T22:50:55Z
settlement,TRNR,0001785056,"Interactive Strength, Inc.",2026-04-03,0001193125-26-142081,2026-04-27T22:50:55Z
settlement,BTMD,0001819253,biote Corp.,2026-04-03,0001193125-26-142147,2026-04-27T22:50:55Z
hsr_clearance,NWE,0001993004,"NorthWestern Energy Group, Inc.",2026-04-03,0001993004-26-000026,2026-04-27T22:50:55Z
hsr_clearance,CRAC,0002070887,Crown Reserve Acquisition Corp. I,2026-04-03,0001213900-26-040025,2026-04-27T22:50:55Z
settlement,SLND,0001883814,"Southland Holdings, Inc.",2026-04-02,0001829126-26-003120,2026-04-27T22:50:55Z
settlement,NERV,0001598646,"Minerva Neurosciences, Inc.",2026-04-02,0001193125-26-140148,2026-04-27T22:50:55Z
sec_investigation,BDX,0000010795,BECTON DICKINSON & CO,2026-04-02,0001628280-26-023185,2026-04-27T22:50:55Z
hsr_clearance,DVN,0001090012,DEVON ENERGY CORP/DE,2026-04-02,0001193125-26-140060,2026-04-27T22:50:55Z
hsr_clearance,CTRA,0000858470,Coterra Energy Inc.,2026-04-02,0001104659-26-039239,2026-04-27T22:50:55Z
hsr_clearance,BKH,0001130464,BLACK HILLS CORP /SD/,2026-04-02,0001193125-26-140217,2026-04-27T22:50:55Z
sec_investigation,FFAI,0001805521,FARADAY FUTURE INTELLIGENT ELECTRIC INC.,2026-04-01,0001213900-26-037931,2026-04-27T22:50:55Z
hsr_clearance,MKC,0000063754,MCCORMICK & CO INC,2026-04-01,0001999371-26-007382,2026-04-27T22:50:55Z
hsr_clearance,EPAM,0001352010,"EPAM Systems, Inc.",2026-04-01,0001352010-26-000024,2026-04-27T22:50:55Z
hsr_clearance,CYCN,0001755237,"Cyclerion Therapeutics, Inc.",2026-04-01,0001193125-26-137909,2026-04-27T22:50:55Z
settlement,ZSTK,0001790169,ZeroStack Corp.,2026-03-31,0001062993-26-001764,2026-04-27T22:50:55Z
settlement,HCWB,0001828673,HCW Biologics Inc.,2026-03-31,0001193125-26-134936,2026-04-27T22:50:55Z
settlement,EXPI,0001495932,"eXp World Holdings, Inc.",2026-03-31,0001104659-26-037650,2026-04-27T22:50:55Z
sec_investigation,LTCH,0001826000,"Latch, Inc.",2026-03-31,0001826000-26-000032,2026-04-27T22:50:55Z
hsr_clearance,TXNM,0001108426,TXNM ENERGY INC,2026-03-31,0001108426-26-000014,2026-04-27T22:50:55Z
hsr_clearance,RPAY,0001720592,Repay Holdings Corp,2026-03-31,0001193125-26-133296,2026-04-27T22:50:55Z
hsr_clearance,MRVL,0001835632,"Marvell Technology, Inc.",2026-03-31,0001193125-26-134462,2026-04-27T22:50:55Z
hsr_clearance,CNTA,0001847903,Centessa Pharmaceuticals plc,2026-03-31,0001193125-26-134656,2026-04-27T22:50:55Z
hsr_clearance,BIIB,0000875045,BIOGEN INC.,2026-03-31,0001193125-26-134889,2026-04-27T22:50:55Z
hsr_clearance,APLS,0001492422,"Apellis Pharmaceuticals, Inc.",2026-03-31,0001193125-26-134916,2026-04-27T22:50:55Z
class_action,SRG,0001628063,Seritage Growth Properties,2026-03-31,0001193125-26-134804,2026-04-27T22:50:55Z
class_action,EXPI,0001495932,"eXp World Holdings, Inc.",2026-03-31,0001104659-26-037650,2026-04-27T22:50:55Z
settlement,TBPH,0001583107,"Theravance Biopharma, Inc.",2026-03-30,0001104659-26-036870,2026-04-27T22:50:55Z
settlement,QNCX,0001662774,"Quince Therapeutics, Inc.",2026-03-30,0001193125-26-130489,2026-04-27T22:50:55Z
settlement,FBYD,0001937987,"Falcon's Beyond Global, Inc.",2026-03-30,0001193125-26-131940,2026-04-27T22:50:55Z
hsr_clearance,SYY,0000096021,SYSCO CORP,2026-03-30,0000950142-26-000922,2026-04-27T22:50:55Z
hsr_clearance,SR,0001126956,SPIRE INC,2026-03-30,0001193125-26-130379,2026-04-27T22:50:55Z
hsr_clearance,FLEX,0000866374,FLEX LTD.,2026-03-30,0000866374-26-000007,2026-04-27T22:50:55Z
class_action,MSTR,0001050446,Strategy Inc,2026-03-30,0001193125-26-130446,2026-04-27T22:50:55Z
settlement,TPET,0001898766,Trio Petroleum Corp,2026-03-27,0001493152-26-013097,2026-04-27T22:50:55Z
hsr_clearance,TWO,0001465740,TWO HARBORS INVESTMENT CORP.,2026-03-27,0001104659-26-035663,2026-04-27T22:50:55Z
settlement,VG,0002007855,"Venture Global, Inc.",2026-03-26,0002007855-26-000021,2026-04-27T22:50:55Z
hsr_clearance,OLPX,0001868726,"OLAPLEX HOLDINGS, INC.",2026-03-26,0001193125-26-126362,2026-04-27T22:50:55Z
settlement,RMAX,0001581091,"RE/MAX Holdings, Inc.",2026-03-25,0001104659-26-034518,2026-04-27T22:50:55Z
hsr_clearance,TERN,0001831363,"Terns Pharmaceuticals, Inc.",2026-03-25,0001193125-26-122785,2026-04-27T22:50:55Z
class_action,RMAX,0001581091,"RE/MAX Holdings, Inc.",2026-03-25,0001104659-26-034518,2026-04-27T22:50:55Z
settlement,SPNT,0001576018,SiriusPoint Ltd,2026-03-23,0001576018-26-000041,2026-04-27T22:50:55Z
settlement,ROIV,0001635088,Roivant Sciences Ltd.,2026-03-23,0001140361-26-010656,2026-04-27T22:50:55Z
settlement,MTWO,0001753373,"M2i Global, Inc.",2026-03-23,0001493152-26-012163,2026-04-27T22:50:55Z
settlement,ABUS,0001447028,Arbutus Biopharma Corp,2026-03-23,0001171843-26-001838,2026-04-27T22:50:55Z
sec_investigation,FFAI,0001805521,FARADAY FUTURE INTELLIGENT ELECTRIC INC.,2026-03-23,0001213900-26-032538,2026-04-27T22:50:55Z
settlement,RGNX,0001590877,REGENXBIO Inc.,2026-03-20,0001193125-26-117913,2026-04-27T22:50:55Z
settlement,OESX,0001409375,"ORION ENERGY SYSTEMS, INC.",2026-03-20,0001193125-26-117652,2026-04-27T22:50:55Z
hsr_clearance,PBH,0001295947,Prestige Consumer Healthcare Inc.,2026-03-20,0001104659-26-032332,2026-04-27T22:50:55Z
settlement,SMTK,0001817760,"SmartKem, Inc.",2026-03-19,0001104659-26-032112,2026-04-27T22:50:55Z
