bucket,n,hit_rate_2pct,hit_rate_2pct_net,hit_rate_2pct_wilson_lo,delta_vs_overall,avg_close_pct,avg_alpha_pct,avg_realistic_pnl_pct
form_424_dilution|cap_large_gt10b,157,6.37,3.82,3.5,-37.5,-0.534,-0.397,-0.222
sign_-1|score_10_14,13,23.08,23.08,8.18,-20.8,-1.298,-1.296,-1.154
form_4_insider|cap_large_gt10b,85,23.53,17.65,15.78,-20.34,-1.454,-1.011,-0.228
form_8K_general|cap_large_gt10b,95,23.16,18.95,15.82,-20.72,0.02,-0.058,0.108
form_4_insider|cap_micro_lt300m,30,30.0,30.0,16.66,-13.87,-0.804,-0.777,-0.96
form_other|cap_small_300m_1b,33,30.3,30.3,17.38,-13.57,-8.756,-8.409,-0.639
score_10_14|gap_down_lt_-2,626,22.52,21.41,19.42,-21.35,-6.718,-6.335,-0.324
score_lt10|gap_down_lt_-2,746,23.32,22.92,20.43,-20.55,-6.438,-6.182,-0.496
cap_large_gt10b,571,24.87,22.07,21.5,-19.01,-0.139,-0.009,0.009
gap_down_lt_-2,1456,24.11,23.42,21.98,-19.77,-6.429,-6.197,-0.394
form_4_insider|cap_small_300m_1b,35,37.14,37.14,23.17,-6.73,1.626,1.765,-0.052
form_NT_late|cap_small_300m_1b,21,42.86,0.0,24.47,-1.02,-1.155,-1.049,-0.265
form_S3_shelf|cap_large_gt10b,12,50.0,50.0,25.38,6.13,0.712,0.425,-0.625
form_424_dilution|cap_mid_1b_10b,50,38.0,38.0,25.86,-5.87,-1.247,-1.293,-0.81
form_NT_late|cap_micro_lt300m,114,34.21,34.21,26.14,-9.66,0.807,-0.053,-0.261
score_lt10|gap_down_0to-2,1292,28.95,26.93,26.54,-14.93,-1.341,-0.936,-0.329
score_10_14|gap_down_0to-2,838,30.43,26.73,27.41,-13.44,-0.802,-0.444,-0.192
gap_down_0to-2,2279,30.19,27.34,28.34,-13.69,-1.035,-0.729,-0.253
form_other|cap_large_gt10b,222,37.84,36.49,31.72,-6.04,0.529,0.646,0.255
score_15_19|gap_down_0to-2,149,39.6,34.23,32.1,-4.28,0.305,-0.542,0.071
score_15_19|gap_down_lt_-2,84,42.86,42.86,32.82,-1.02,-4.185,-5.295,-0.01
score_10_14|gap_flat_0to2,1330,37.97,35.41,35.4,-5.9,0.463,0.51,-0.237
form_424_dilution,1969,38.04,37.07,35.92,-5.83,-0.292,-0.241,-0.434
form_4_insider|cap_mid_1b_10b,43,51.16,44.19,36.75,7.29,-0.313,-0.102,-0.345
form_424_dilution|cap_unknown,1528,39.46,38.87,37.04,-4.41,-0.107,-0.057,-0.446
