filed,form,ticker,target,ciks,accession,captured_at
2026-04-24,DEFM14A,STRS,STRATUS PROPERTIES INC,0000885508,0001193125-26-174846,2026-04-27T22:55:17Z
2026-04-24,PREM14C,OLPX,"OLAPLEX HOLDINGS, INC.",0001868726,0001193125-26-177760,2026-04-27T22:55:17Z
2026-04-24,DEFM14C,MCW,"Mister Car Wash, Inc.",0001853513,0001193125-26-174850,2026-04-27T22:55:17Z
2026-04-23,DEFM14A,THR,"Thermon Group Holdings, Inc.",0001489096,0001104659-26-047723,2026-04-27T22:55:17Z
2026-04-23,DEFM14A,,WEBSTER FINANCIAL CORP,0000801337,0001140361-26-016415,2026-04-27T22:55:17Z
2026-04-22,DEFM14A,,Nuveen Churchill BDC V,0002071136,0002071136-26-000019,2026-04-27T22:55:17Z
2026-04-21,DEFM14A,XPRO,EXPRO GROUP HOLDINGS N.V.,0001575828,0001104659-26-046161,2026-04-27T22:55:17Z
2026-04-21,DEFM14A,STEL,"Stellar Bancorp, Inc.",0001473844,0001193125-26-166934,2026-04-27T22:55:17Z
2026-04-20,DEFM14A,,"Talkspace, Inc.",0001803901,0001193125-26-163940,2026-04-27T22:55:17Z
2026-04-20,DEFM14A,,TWO HARBORS INVESTMENT CORP.,0001465740,0001140361-26-015481,2026-04-27T22:55:17Z
2026-04-17,PREM14A,CNTA,Centessa Pharmaceuticals plc,0001847903,0001193125-26-161682,2026-04-27T22:55:17Z
2026-04-16,DEFM14A,ANY,Sphere 3D Corp.,0001591956,0001185185-26-001404,2026-04-27T22:55:17Z
2026-04-16,DEFM14A,FONR,FONAR CORP,0000355019,0001193125-26-159049,2026-04-27T22:55:17Z
2026-04-15,PREM14A,SEM,SELECT MEDICAL HOLDINGS CORP,0001320414,0001104659-26-043505,2026-04-27T22:55:17Z
2026-04-15,PREM14A,BIRD,"Allbirds, Inc.",0001653909,0001193125-26-155866,2026-04-27T22:55:17Z
2026-04-14,PREM14A,,"KORE Group Holdings, Inc.",0001855457,0001140361-26-014625,2026-04-27T22:55:17Z
2026-04-14,DEFM14A,EHAB,"Enhabit, Inc.",0001803737,0001193125-26-154881,2026-04-27T22:55:17Z
2026-04-13,DEFM14A,CCO,"Clear Channel Outdoor Holdings, Inc.",0001334978,0001213900-26-042721,2026-04-27T22:55:17Z
2026-04-10,PREM14A,,TWO HARBORS INVESTMENT CORP.,0001465740,0001140361-26-014238,2026-04-27T22:55:17Z
2026-04-10,DEFM14A,VRE,"Veris Residential, Inc.",0000924901,0001104659-26-042105,2026-04-27T22:55:17Z
2026-04-10,DEFM14C,,"United Homes Group, Inc.",0001830188,0001140361-26-014128,2026-04-27T22:55:17Z
2026-04-09,DEFM14A,,Willow Lane Acquisition Corp.,0002032379,0001493152-26-015765,2026-04-27T22:55:17Z
2026-04-08,DEFM14A,CWAN,"Clearwater Analytics Holdings, Inc.",0001866368,0001193125-26-146311,2026-04-27T22:55:17Z
2026-04-07,PREM14A,ANY,Sphere 3D Corp.,0001591956,0001185185-26-001290,2026-04-27T22:55:17Z
2026-04-07,PREM14A,,"Talkspace, Inc.",0001803901,0001193125-26-144257,2026-04-27T22:55:17Z
2026-04-06,PREM14A,SKYE,"Skye Bioscience, Inc.",0001516551,0001628280-26-023908,2026-04-27T22:55:17Z
2026-04-06,DEFM14A,,"DILLARD'S, INC.",0000028917,0001104659-26-039765,2026-04-27T22:55:17Z
2026-04-03,DEFM14A,EWCZ,"European Wax Center, Inc.",0001856236,0001193125-26-141205,2026-04-27T22:55:17Z
2026-04-03,DEFM14A,NVRI,ENVIRI Corp,0000045876,0000045876-26-000069,2026-04-27T22:55:17Z
2026-04-03,PREM14C,MCW,"Mister Car Wash, Inc.",0001853513,0001193125-26-142150,2026-04-27T22:55:17Z
2026-04-02,PREM14A,,Nuveen Churchill BDC V,0002071136,0002071136-26-000017,2026-04-27T22:55:17Z
2026-04-02,PREM14A,CCO,"Clear Channel Outdoor Holdings, Inc.",0001334978,0001213900-26-039329,2026-04-27T22:55:17Z
2026-04-02,DEFM14A,MPX,MARINE PRODUCTS CORP,0001129155,0001193125-26-138991,2026-04-27T22:55:17Z
2026-04-01,DEFM14A,PEN,Penumbra Inc,0001321732,0001140361-26-012785,2026-04-27T22:55:17Z
2026-04-01,DEFM14A,MASI,MASIMO CORP,0000937556,0001104659-26-038289,2026-04-27T22:55:17Z
2026-03-31,DEFM14A,SNCY,"Sun Country Airlines Holdings, Inc.",0001743907,0001140361-26-012383,2026-04-27T22:55:17Z
2026-03-31,DEFM14A,SKYT,"SkyWater Technology, Inc",0001819974,0001193125-26-134924,2026-04-27T22:55:17Z
2026-03-31,PREM14C,,"United Homes Group, Inc.",0001830188,0001140361-26-012084,2026-04-27T22:55:17Z
2026-03-30,PREM14A,EHAB,"Enhabit, Inc.",0001803737,0001193125-26-130513,2026-04-27T22:55:17Z
2026-03-30,PREM14A,STRS,STRATUS PROPERTIES INC,0000885508,0001193125-26-132081,2026-04-27T22:55:17Z
2026-03-30,DEFM14A,CTRA,Coterra Energy Inc.,0000858470,0001104659-26-036887,2026-04-27T22:55:17Z
2026-03-30,DEFM14A,DVN,DEVON ENERGY CORP/DE,0001090012,0001104659-26-036909,2026-04-27T22:55:17Z
2026-03-27,PREM14A,,"DILLARD'S, INC.",0000028917,0001104659-26-036197,2026-04-27T22:55:17Z
