ticker,list_name,list_date,reason
WBXWF,sec_top_gappers,2026-03-04,no_price_data
DAICW,sec_top_gappers,2026-03-04,no_next_trading_day
FLDDW,sec_top_gappers,2026-03-04,no_next_trading_day
FFAIW,sec_top_gappers,2026-03-04,no_next_trading_day
OCSAW,sec_top_gappers,2026-03-04,no_next_trading_day
DSX-WT,sec_top_gappers,2026-03-04,no_next_trading_day
IRS-WT,sec_top_gappers,2026-03-04,no_next_trading_day
WHLRL,sec_top_gappers,2026-03-04,no_next_trading_day
CAST,sec_top_gappers,2026-03-04,no_next_trading_day
WBXWF,sec_top_value,2026-03-04,no_price_data
DAICW,sec_top_value,2026-03-04,no_next_trading_day
FLDDW,sec_top_value,2026-03-04,no_next_trading_day
FFAIW,sec_top_value,2026-03-04,no_next_trading_day
OCSAW,sec_top_value,2026-03-04,no_next_trading_day
DSX-WT,sec_top_value,2026-03-04,no_next_trading_day
IRS-WT,sec_top_value,2026-03-04,no_next_trading_day
WHLRL,sec_top_value,2026-03-04,no_next_trading_day
CAST,sec_top_value,2026-03-04,no_next_trading_day
DAICW,sec_top_moat_emerging,2026-03-04,no_next_trading_day
WBXWF,sec_top_moat_emerging,2026-03-04,no_price_data
FLDDW,sec_top_moat_emerging,2026-03-04,no_next_trading_day
FFAIW,sec_top_moat_emerging,2026-03-04,no_next_trading_day
OCSAW,sec_top_moat_emerging,2026-03-04,no_next_trading_day
DSX-WT,sec_top_moat_emerging,2026-03-04,no_next_trading_day
IRS-WT,sec_top_moat_emerging,2026-03-04,no_next_trading_day
CAST,sec_top_moat_emerging,2026-03-04,no_next_trading_day
WHLRL,sec_top_moat_emerging,2026-03-04,no_next_trading_day
ACHR-WT,sec_clean_gappers,2026-03-05,no_next_trading_day
BURUW,sec_clean_gappers,2026-03-05,no_price_data
CELUW,sec_clean_gappers,2026-03-05,no_next_trading_day
SVREW,sec_clean_gappers,2026-03-05,no_next_trading_day
AZSAY,sec_clean_gappers,2026-03-05,no_price_data
ACHR-WT,sec_top_gappers,2026-03-05,no_next_trading_day
BURUW,sec_top_gappers,2026-03-05,no_price_data
CELUW,sec_top_gappers,2026-03-05,no_next_trading_day
SVREW,sec_top_gappers,2026-03-05,no_next_trading_day
AZSAY,sec_top_gappers,2026-03-05,no_price_data
AMPWF,sec_top_gappers,2026-03-05,no_price_data
GDEVW,sec_top_gappers,2026-03-05,no_next_trading_day
GLED,sec_top_gappers,2026-03-05,no_next_trading_day
FMSTW,sec_top_gappers,2026-03-05,no_next_trading_day
EUDAW,sec_top_gappers,2026-03-05,no_next_trading_day
WHLRL,sec_top_gappers,2026-03-05,no_next_trading_day
BIOT,sec_top_gappers,2026-03-05,no_price_data
KIDZW,sec_top_gappers,2026-03-05,no_next_trading_day
XNDU,sec_top_gappers,2026-03-05,no_next_trading_day
FLDDW,sec_top_gappers,2026-03-05,no_next_trading_day
VSEEW,sec_top_gappers,2026-03-05,no_next_trading_day
CAST,sec_top_gappers,2026-03-05,no_next_trading_day
PLAI,sec_top_gappers,2026-03-05,no_price_data
