kind,ticker,name,form,filed,accession,captured_at
workforce_reduction,HCAT,"Health Catalyst, Inc.  (HCAT)  (CIK 0001636422)",8-K,2026-04-27,0001636422-26-000045:hcat-20260424.htm,2026-04-27T22:51:35Z
workforce_reduction,VZ,VERIZON COMMUNICATIONS INC  (VZ)  (CIK 0000732712),8-K,2026-04-27,0000732712-26-000019:vz-20260427.htm,2026-04-27T22:51:35Z
layoffs,UHT,UNIVERSAL HEALTH REALTY INCOME TRUST  (UHT)  (CIK 0000798783),8-K,2026-04-27,0001193125-26-182162:uht-ex99_1.htm,2026-04-27T22:51:35Z
layoffs,ELSE,ELECTRO SENSORS INC  (ELSE)  (CIK 0000351789),8-K/A,2026-04-27,0000897101-26-000148:a04242026_ex2-1.htm,2026-04-27T22:51:35Z
layoffs,,"XOMA Royalty Corp  (XOMA, XOMAO, XOMAP)  (CIK 0000791908)",8-K,2026-04-27,0001193125-26-179085:d139894dex21.htm,2026-04-27T22:51:35Z
layoffs,,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)  (CIK 0000886163)",8-K,2026-04-27,0001193125-26-179529:d143046dex21.htm,2026-04-27T22:51:35Z
facility_closure,RMBS,RAMBUS INC  (RMBS)  (CIK 0000917273),8-K,2026-04-27,0001193125-26-182076:rmbs-ex99_1.htm,2026-04-27T22:51:35Z
reduction_in_force,PEBO,PEOPLES BANCORP INC  (PEBO)  (CIK 0000318300),8-K,2026-04-24,0000318300-26-000145:exhibit21.htm,2026-04-27T22:51:35Z
layoffs,HLX,HELIX ENERGY SOLUTIONS GROUP INC  (HLX)  (CIK 0000866829),8-K,2026-04-24,0001140361-26-016767:ef20071301_ex2-1.htm,2026-04-27T22:51:35Z
facility_closure,,"MOOG INC.  (MOG-A, MOG-B)  (CIK 0000067887)",8-K,2026-04-24,0001628280-26-027030:ex991-42426.htm,2026-04-27T22:51:35Z
workforce_reduction,DOW,DOW INC.  (DOW)  (CIK 0001751788),8-K,2026-04-23,0001751788-26-000131:exhibit991enrschedules1q26.htm,2026-04-27T22:51:35Z
workforce_reduction,,"Rexford Industrial Realty, Inc.  (REXR, REXR-PB, REXR-PC)  (CIK 0001571283)",8-K,2026-04-23,0001571283-26-000017:rexrex991q1-2026.htm,2026-04-27T22:51:35Z
workforce_reduction,,"Rexford Industrial Realty, Inc.  (REXR, REXR-PB, REXR-PC)  (CIK 0001571283)",8-K,2026-04-23,0001571283-26-000017:rexrex992q1-2026.htm,2026-04-27T22:51:35Z
workforce_reduction,,"Athena Technology Acquisition Corp. II  (ATEK, ATEKU, ATEKW)  (CIK 0001882198)",8-K,2026-04-23,0001213900-26-047101:ea028748701ex10-1.htm,2026-04-27T22:51:35Z
restructuring,,"ConnectOne Bancorp, Inc.  (CNOB, CNOBP)  (CIK 0000712771)",8-K,2026-04-23,0001437749-26-013080:ex_924680.htm,2026-04-27T22:51:35Z
restructuring,,"VALLEY NATIONAL BANCORP  (VLY, VLYPN, VLYPO, VLYPP)  (CIK 0000714310)",8-K,2026-04-23,0000714310-26-000020:a1q26earningspresentatio.htm,2026-04-27T22:51:35Z
restructuring,,"VALLEY NATIONAL BANCORP  (VLY, VLYPN, VLYPO, VLYPP)  (CIK 0000714310)",8-K,2026-04-23,0000714310-26-000020:exhibit991earningsrelease0.htm,2026-04-27T22:51:35Z
restructuring,UVSP,UNIVEST FINANCIAL Corp  (UVSP)  (CIK 0000102212),8-K,2026-04-23,0000102212-26-000022:exhibit991earningsrelease3.htm,2026-04-27T22:51:35Z
restructuring,MXL,"MAXLINEAR, INC  (MXL)  (CIK 0001288469)",8-K,2026-04-23,0001288469-26-000027:a03312026exhibit1001.htm,2026-04-27T22:51:35Z
layoffs,AXP,AMERICAN EXPRESS CO  (AXP)  (CIK 0000004962),8-K,2026-04-23,0000004962-26-000188:axp-20260423.htm,2026-04-27T22:51:35Z
layoffs,AXP,AMERICAN EXPRESS CO  (AXP)  (CIK 0000004962),8-K,2026-04-23,0000004962-26-000188:q126exhibit991.htm,2026-04-27T22:51:35Z
layoffs,,"Athena Technology Acquisition Corp. II  (ATEK, ATEKU, ATEKW)  (CIK 0001882198)",8-K,2026-04-23,0001213900-26-047101:ea028748701ex10-1.htm,2026-04-27T22:51:35Z
workforce_reduction,LUV,SOUTHWEST AIRLINES CO  (LUV)  (CIK 0000092380),8-K,2026-04-22,0000092380-26-000044:er-3312026xerdoc.htm,2026-04-27T22:51:35Z
workforce_reduction,CCI,CROWN CASTLE INC.  (CCI)  (CIK 0001051470),8-K,2026-04-22,0001051470-26-000046:q12026earningsrelease.htm,2026-04-27T22:51:35Z
restructuring,URI,"UNITED RENTALS, INC.  (URI)  (CIK 0001067701)",8-K,2026-04-22,0001067701-26-000018:uri-3312026xex991.htm,2026-04-27T22:51:35Z
reduction_in_force,CBFV,"CB Financial Services, Inc.  (CBFV)  (CIK 0001605301)",8-K,2026-04-22,0001605301-26-000018:a20260331ex9911stqtrearnin.htm,2026-04-27T22:51:35Z
layoffs,,"Iron Horse Acquisition II Corp.  (IRHO, IRHOR, IRHOU)  (CIK 0002051985)",8-K,2026-04-22,0001213900-26-046611:ea028718501ex2-1.htm,2026-04-27T22:51:35Z
