ticker,form,updated_utc,recency_min,gapper_score,value_score,moat_score,insider_signal_score,risk_flags,market_flags,tags,items,price,avg_vol_3m,market_cap,link
EMBJ,6-K,2026-04-27T17:22:27-04:00,98,13,9,15,0,,no_market_data,+backlog;+renewal,,,,,https://www.sec.gov/Archives/edgar/data/1355444/000129281426002545/0001292814-26-002545-index.htm
LTBR,8-K,2026-04-27T17:00:34-04:00,120,14,10,13,0,atm program,no_market_data,+patent;-atm program,,,,,https://www.sec.gov/Archives/edgar/data/1084554/000147793226002579/0001477932-26-002579-index.htm
SEER,8-K,2026-04-27T16:23:36-04:00,157,17,10,13,0,,no_market_data,+patent,,,,,https://www.sec.gov/Archives/edgar/data/1726445/000119312526182155/0001193125-26-182155-index.htm
NHS,4,2026-04-27T18:48:38-04:00,12,7,10,12,0,,no_market_data,+subscription,,,,,https://www.sec.gov/Archives/edgar/data/1487610/000089843226000297/0000898432-26-000297-index.htm
AVIR,DEFA14A,2026-04-27T16:57:59-04:00,122,8,12,12,0,,est_mcap_from_sec_shares,,,5.3600,502356,427042364,https://www.sec.gov/Archives/edgar/data/1593899/000119312526182340/0001193125-26-182340-index.htm
ABEO,DEF 14A,2026-04-27T16:30:39-04:00,150,8,12,12,0,,est_mcap_from_sec_shares,,,5.3400,1167973,304641782,https://www.sec.gov/Archives/edgar/data/318306/000149315226019153/0001493152-26-019153-index.htm
PRNAF,6-K,2026-04-27T06:21:53-04:00,759,8,3,12,0,,no_market_data,+exclusive;+intellectual property;+patent,,,,,https://www.sec.gov/Archives/edgar/data/1131343/000143774926013364/0001437749-26-013364-index.htm
PLRZ,6-K,2026-04-27T09:29:14-04:00,571,2,2,11,0,offering,no_market_data,+intellectual property;+patent;-offering,,,,,https://www.sec.gov/Archives/edgar/data/1893645/000121390026047794/0001213900-26-047794-index.htm
CMND,6-K,2026-04-27T07:45:10-04:00,675,6,5,11,0,,no_market_data,+intellectual property;+patent,,,,,https://www.sec.gov/Archives/edgar/data/1892500/000121390026047736/0001213900-26-047736-index.htm
BAK,6-K,2026-04-27T07:44:53-04:00,676,6,11,11,0,,est_mcap_from_sec_shares,,,3.3800,2734540,1526640043,https://www.sec.gov/Archives/edgar/data/1071438/000129281426002533/0001292814-26-002533-index.htm
SHMD,6-K,2026-04-27T07:12:50-04:00,708,5,5,11,0,,no_market_data,+backlog;+subscription,,,,,https://www.sec.gov/Archives/edgar/data/1987240/000110465926048999/0001104659-26-048999-index.htm
VINP,4,2026-04-27T18:42:32-04:00,18,6,15,10,2,,no_market_data,+cfo;+form 4,,,,,https://www.sec.gov/Archives/edgar/data/1826286/000095010326006239/0000950103-26-006239-index.htm
SPWR,4,2026-04-27T18:08:14-04:00,52,6,10,10,3,,no_market_data,+ceo;-convertible note,,,,,https://www.sec.gov/Archives/edgar/data/1838987/000121390026048125/0001213900-26-048125-index.htm
SRTA,4,2026-04-27T17:45:55-04:00,74,6,17,10,6,,no_market_data,+acquired;+ceo;+cfo;+form 4,,,,,https://www.sec.gov/Archives/edgar/data/1779128/000162828026027654/0001628280-26-027654-index.htm
CORZZ,8-K,2026-04-27T17:30:43-04:00,90,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1839341/000162828026027645/0001628280-26-027645-index.htm
WSUP,8-K,2026-04-27T17:29:23-04:00,91,17,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1819516/000162828026027641/0001628280-26-027641-index.htm
ELSE,8-K,2026-04-27T17:28:36-04:00,92,17,10,10,0,,no_market_data,,9.01,,,,https://www.sec.gov/Archives/edgar/data/351789/000089710126000148/0000897101-26-000148-index.htm
VLDX,8-K,2026-04-27T17:28:17-04:00,92,13,7,10,0,offering,no_market_data,-offering,,,,,https://www.sec.gov/Archives/edgar/data/1825079/000149315226019195/0001493152-26-019195-index.htm
WABC,8-K,2026-04-27T17:25:43-04:00,95,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/311094/000117184326002737/0001171843-26-002737-index.htm
GECCO,8-K,2026-04-27T17:21:55-04:00,98,16,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1675033/000095010326006233/0000950103-26-006233-index.htm
CR,8-K,2026-04-27T17:19:36-04:00,101,17,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1944013/000194401326000133/0001944013-26-000133-index.htm
KINS,8-K,2026-04-27T17:18:32-04:00,102,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/33992/000102177126000063/0001021771-26-000063-index.htm
IPOD,8-K,2026-04-27T17:15:56-04:00,104,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/2041047/000121390026048089/0001213900-26-048089-index.htm
MANE,8-K,2026-04-27T17:16:27-04:00,104,16,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1827635/000162828026027629/0001628280-26-027629-index.htm
PFE,8-K,2026-04-27T17:16:36-04:00,104,16,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/78003/000007800326000044/0000078003-26-000044-index.htm
TRT,8-K,2026-04-27T17:15:14-04:00,105,13,7,10,0,offering,no_market_data,-offering,,,,,https://www.sec.gov/Archives/edgar/data/732026/000143774926013511/0001437749-26-013511-index.htm
YSWY,8-K,2026-04-27T17:15:17-04:00,105,16,7,10,0,offering,no_market_data,+definitive agreement;-offering,1.01,,,,https://www.sec.gov/Archives/edgar/data/1859836/000110465926049520/0001104659-26-049520-index.htm
GH,8-K,2026-04-27T17:11:52-04:00,109,16,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1576280/000119312526182391/0001193125-26-182391-index.htm
BRO,8-K,2026-04-27T17:08:57-04:00,111,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/79282/000119312526182375/0001193125-26-182375-index.htm
PFBX,8-K,2026-04-27T17:05:52-04:00,115,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/770460/000110465926049507/0001104659-26-049507-index.htm
BPRN,8-K,2026-04-27T17:02:08-04:00,118,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1913971/000119312526182356/0001193125-26-182356-index.htm
