filed,form,ticker,issuer,ciks,accession,captured_at
2026-04-27,8-A12B,,Tidal Trust II,0001924868,0001999371-26-009101,2026-04-27T22:56:28Z
2026-04-27,8-A12B,IACQ,Irenic Acquisition Corp.,0002122505,0001104659-26-049156,2026-04-27T22:56:28Z
2026-04-27,8-A12B,,Listed Funds Trust,0001683471,0000894189-26-013155,2026-04-27T22:56:28Z
2026-04-27,8-A12B/A,BOOM,DMC Global Inc.,0000034067,0000034067-26-000029,2026-04-27T22:56:28Z
2026-04-27,8-A12B,PLUN,Plutonian Acquisition Corp. II,0002065661,0001477932-26-002556,2026-04-27T22:56:28Z
2026-04-27,8-A12B,CXII,Churchill Capital Corp XII,0002114227,0001213900-26-047822,2026-04-27T22:56:28Z
2026-04-27,8-A12B,AVLN,Avalyn Pharma Inc.,0001540171,0001193125-26-182253,2026-04-27T22:56:28Z
2026-04-27,8-A12B,,Exchange Listed Funds Trust,0001547950,0001213900-26-047872,2026-04-27T22:56:28Z
2026-04-27,8-A12B/A,,Tidal Trust II,0001924868,0001999371-26-009081,2026-04-27T22:56:28Z
2026-04-27,8-A12B,COAG,"Hemab Therapeutics Holdings, Inc.",0002114044,0001193125-26-181893,2026-04-27T22:56:28Z
2026-04-27,8-A12B,,Pacer Funds Trust,0001616668,0000894189-26-013202,2026-04-27T22:56:28Z
2026-04-27,8-A12B,GLND,Greenland Energy Co,0002093507,0001829126-26-003943,2026-04-27T22:56:28Z
2026-04-24,8-A12B,XE,"X-Energy, Inc.",0002088896,0001104659-26-048067,2026-04-27T22:56:28Z
2026-04-24,8-A12B,SLMT,Brera Holdings PLC,0001939965,0001213900-26-047612,2026-04-27T22:56:28Z
2026-04-24,8-A12B,,Tidal Trust III,0001722388,0001999371-26-008901,2026-04-27T22:56:28Z
2026-04-23,8-A12B,GIS,GENERAL MILLS INC,0000040704,0001193125-26-172300,2026-04-27T22:56:28Z
2026-04-22,8-A12B,,Tidal Trust II,0001924868,0001999371-26-008732,2026-04-27T22:56:28Z
2026-04-22,8-A12B,,FIDELITY COVINGTON TRUST,0000945908,0000945908-26-000143,2026-04-27T22:56:28Z
2026-04-22,8-A12B,YSWY,"Yesway, Inc.",0001859836,0001104659-26-046298,2026-04-27T22:56:28Z
2026-04-22,8-A12B,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,0001114927-26-000041,2026-04-27T22:56:28Z
2026-04-22,8-A12B,ELMT,Elmet Group Co.,0002101698,0001213900-26-046565,2026-04-27T22:56:28Z
2026-04-22,8-A12B,,GraniteShares ETF Trust,0001689873,0001493152-26-018487,2026-04-27T22:56:28Z
2026-04-22,8-A12B,,"Blaize Holdings, Inc.",0001871638,0001871638-26-000027,2026-04-27T22:56:28Z
2026-04-21,8-A12B,,Virtus ETF Trust II,0001648403,0001999371-26-008604,2026-04-27T22:56:28Z
2026-04-21,8-A12B,,"National Healthcare Properties, Inc.",0001561032,0001628280-26-026148,2026-04-27T22:56:28Z
2026-04-21,8-A12B,,SILVER BOW MINING CORP.,0002067674,0001539497-26-001180,2026-04-27T22:56:28Z
2026-04-21,8-A12B,,"LIBERTY DEFENSE HOLDINGS, LTD.",0001919776,0001104659-26-046035,2026-04-27T22:56:28Z
2026-04-20,8-A12B,,Janus Detroit Street Trust,0001500604,0001398344-26-006686,2026-04-27T22:56:28Z
2026-04-20,8-A12B,,Principal Exchange-Traded Funds,0001572661,0001104659-26-045452,2026-04-27T22:56:28Z
2026-04-20,8-A12B,,ETF Series Solutions,0001540305,0000894189-26-012226,2026-04-27T22:56:28Z
2026-04-20,8-A12B,,Listed Funds Trust,0001683471,0000894189-26-012237,2026-04-27T22:56:28Z
2026-04-20,8-A12B/A,ASND,Ascendis Pharma A/S,0001612042,0001193125-26-162865,2026-04-27T22:56:28Z
2026-04-17,8-A12B,,PROSHARES TRUST,0001174610,0001174610-26-000114,2026-04-27T22:56:28Z
2026-04-17,8-A12B,,FIRST TRUST EXCHANGE-TRADED FUND,0001329377,0001445546-26-002799,2026-04-27T22:56:28Z
2026-04-17,8-A12B/A,VRA,"Vera Bradley, Inc.",0001495320,0001628280-26-025859,2026-04-27T22:56:28Z
2026-04-17,8-A12B,,FundVantage Trust,0001388485,0001829126-26-003596,2026-04-27T22:56:28Z
2026-04-17,8-A12B,,"Banco Santander, S.A.",0000891478,0000950103-26-005859,2026-04-27T22:56:28Z
2026-04-17,8-A12B,,CAPITAL-FORCE ETF TRUST,0002104659,0001213900-26-045117,2026-04-27T22:56:28Z
2026-04-17,8-A12B,AVEX,AEVEX Corp.,0002096300,0001193125-26-160210,2026-04-27T22:56:28Z
2026-04-17,8-A12B,,FIRST TRUST EXCHANGE-TRADED FUND,0001329377,0001445546-26-002794,2026-04-27T22:56:28Z
2026-04-17,8-A12B,LABT,Lakewood-Amedex Biotherapeutics Inc.,0002079272,0001213900-26-045037,2026-04-27T22:56:28Z
2026-04-17,8-A12B/A,ARQ,"Arq, Inc.",0001515156,0001515156-26-000047,2026-04-27T22:56:28Z
2026-04-17,8-A12B,,CAPITAL-FORCE ETF TRUST,0002104659,0001213900-26-045114,2026-04-27T22:56:28Z
2026-04-16,8-A12B,,Exchange Listed Funds Trust,0001547950,0001213900-26-044559,2026-04-27T22:56:28Z
2026-04-16,8-A12B,MAIR,Madison Air Solutions Corp,0002098430,0001193125-26-157864,2026-04-27T22:56:28Z
2026-04-16,8-A12B,,JATT II Acquisition Corp.,0002112446,0001213900-26-044548,2026-04-27T22:56:28Z
2026-04-15,8-A12B,ALMR,"Alamar Biosciences, Inc.",0002104204,0001193125-26-156986,2026-04-27T22:56:28Z
2026-04-15,8-A12B,ARXS,"Arxis, Inc.",0002093536,0001193125-26-155863,2026-04-27T22:56:28Z
2026-04-15,8-A12B,,Listed Funds Trust,0001683471,0000894189-26-012125,2026-04-27T22:56:28Z
2026-04-15,8-A12B,,Listed Funds Trust,0001683471,0000894189-26-012089,2026-04-27T22:56:28Z
2026-04-15,8-A12B,,J.P. Morgan Exchange-Traded Fund Trust,0001485894,0001193125-26-156151,2026-04-27T22:56:28Z
2026-04-15,8-A12B,,Principal Exchange-Traded Funds,0001572661,0001572661-26-000021,2026-04-27T22:56:28Z
2026-04-15,8-A12G,,Mercalot Inc.,0002029014,0001683168-26-002992,2026-04-27T22:56:28Z
2026-04-14,8-A12B,,CEA Industries Inc.,0001482541,0001493152-26-016478,2026-04-27T22:56:28Z
2026-04-14,8-A12B,CMRC,"Commerce.com, Inc.",0001626450,0001193125-26-154890,2026-04-27T22:56:28Z
2026-04-14,8-A12B,,FIRST TRUST EXCHANGE-TRADED FUND VIII,0001667919,0001445546-26-002722,2026-04-27T22:56:28Z
2026-04-14,8-A12B,RPAY,Repay Holdings Corp,0001720592,0001193125-26-153991,2026-04-27T22:56:28Z
2026-04-14,8-A12B,,Virtus ETF Trust II,0001648403,0001999371-26-008200,2026-04-27T22:56:28Z
2026-04-14,8-A12B,KLRA,"Kailera Therapeutics, Inc.",0002096997,0001193125-26-154882,2026-04-27T22:56:28Z
2026-04-14,8-A12B,,NewHold Investment Corp IV,0002099767,0001213900-26-043295,2026-04-27T22:56:28Z
