kind,ticker,name,form,filed,accession,captured_at
winter_storm,ARLP,ALLIANCE RESOURCE PARTNERS LP  (ARLP)  (CIK 0001086600),8-K,2026-04-27,0001104659-26-049042:arlp-20260427xex99d1.htm,2026-04-27T22:54:03Z
tornado,ELSE,ELECTRO SENSORS INC  (ELSE)  (CIK 0000351789),8-K/A,2026-04-27,0000897101-26-000148:a04242026_ex2-1.htm,2026-04-27T22:54:03Z
tornado,OGN,Organon & Co.  (OGN)  (CIK 0001821825),8-K,2026-04-27,0001193125-26-178718:d38652dex21.htm,2026-04-27T22:54:03Z
natural_disaster,DEA,"Easterly Government Properties, Inc.  (DEA)  (CIK 0001622194)",8-K,2026-04-27,0001622194-26-000014:dea-ex99_1.htm,2026-04-27T22:54:03Z
natural_disaster,DEA,"Easterly Government Properties, Inc.  (DEA)  (CIK 0001622194)",8-K,2026-04-27,0001622194-26-000014:dea-ex99_2.htm,2026-04-27T22:54:03Z
natural_disaster,,"Miluna Acquisition Corp  (MMTX, MMTXU, MMTXW)  (CIK 0002077033)",8-K,2026-04-27,0001493152-26-019055:ex2-1.htm,2026-04-27T22:54:03Z
natural_disaster,OGN,Organon & Co.  (OGN)  (CIK 0001821825),8-K,2026-04-27,0001193125-26-178718:d38652dex21.htm,2026-04-27T22:54:03Z
hurricane,SUI,SUN COMMUNITIES INC  (SUI)  (CIK 0000912593),8-K,2026-04-27,0000912593-26-000156:exhibit991pressreleaseands.htm,2026-04-27T22:54:03Z
hurricane,CR,Crane Co  (CR)  (CIK 0001944013),8-K,2026-04-27,0001944013-26-000125:exhibit991-pressreleasexq1.htm,2026-04-27T22:54:03Z
hurricane,BFST,"Business First Bancshares, Inc.  (BFST)  (CIK 0001624322)",8-K,2026-04-27,0001624322-26-000024:bfstq126investorpresenta.htm,2026-04-27T22:54:03Z
hurricane,OGN,Organon & Co.  (OGN)  (CIK 0001821825),8-K,2026-04-27,0001193125-26-178718:d38652dex21.htm,2026-04-27T22:54:03Z
hurricane,ELSE,ELECTRO SENSORS INC  (ELSE)  (CIK 0000351789),8-K/A,2026-04-27,0000897101-26-000148:a04242026_ex2-1.htm,2026-04-27T22:54:03Z
extreme_weather,VZ,VERIZON COMMUNICATIONS INC  (VZ)  (CIK 0000732712),8-K,2026-04-27,0000732712-26-000019:a2026q1exhibit99.htm,2026-04-27T22:54:03Z
extreme_weather,VTR,"Ventas, Inc.  (VTR)  (CIK 0000740260)",8-K,2026-04-27,0000740260-26-000016:q12026earningsrelease.htm,2026-04-27T22:54:03Z
extreme_weather,NWBI,"Northwest Bancshares, Inc.  (NWBI)  (CIK 0001471265)",8-K,2026-04-27,0001471265-26-000014:a2026-03x31nwbi8ker.htm,2026-04-27T22:54:03Z
winter_storm,HCA,"HCA Healthcare, Inc.  (HCA)  (CIK 0000860730)",8-K,2026-04-24,0001193125-26-174933:hca-ex99_1.htm,2026-04-27T22:54:03Z
tornado,HLX,HELIX ENERGY SOLUTIONS GROUP INC  (HLX)  (CIK 0000866829),8-K,2026-04-24,0001140361-26-016767:ef20071301_ex2-1.htm,2026-04-27T22:54:03Z
extreme_weather,,"FLAGSTAR BANK, NATIONAL ASSOCIATION  (FLG, FLG-PA, FLG-PU)  (CIK 0000910073)",8-K,2026-04-24,0000910073-26-000035:flg_1q26earningspresenta.htm,2026-04-27T22:54:03Z
extreme_weather,,"FLAGSTAR BANK, NATIONAL ASSOCIATION  (FLG, FLG-PA, FLG-PU)  (CIK 0000910073)",8-K,2026-04-24,0000910073-26-000035:a1q2026earningsrelease.htm,2026-04-27T22:54:03Z
winter_storm,CNP,CENTERPOINT ENERGY INC  (CNP)  (CIK 0001130310),8-K,2026-04-23,0001104659-26-047123:tm2612248d1_ex99-2.htm,2026-04-27T22:54:03Z
winter_storm,PKG,PACKAGING CORP OF AMERICA  (PKG)  (CIK 0000075677),8-K,2026-04-23,0001193125-26-171009:pkg-ex99_1.htm,2026-04-27T22:54:03Z
winter_storm,CNP,CENTERPOINT ENERGY INC  (CNP)  (CIK 0001130310),8-K,2026-04-23,0001104659-26-047123:tm2612248d1_ex99-1.htm,2026-04-27T22:54:03Z
wildfire,,"PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI,",8-K,2026-04-23,0001004980-26-000032:q126earningspresentation.htm,2026-04-27T22:54:03Z
wildfire,,"PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI,",8-K,2026-04-23,0001004980-26-000032:pge-q12026pressrelease.htm,2026-04-27T22:54:03Z
wildfire,,"PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI,",8-K,2026-04-23,0001004980-26-000032:pcg-20260423.htm,2026-04-27T22:54:03Z
wildfire,,"HARTFORD INSURANCE GROUP, INC.  (HIG, HIG-PG)  (CIK 0000874766)",8-K,2026-04-23,0000874766-26-000036:ex991earningsnewsrelease33.htm,2026-04-27T22:54:03Z
tornado,,"HARTFORD INSURANCE GROUP, INC.  (HIG, HIG-PG)  (CIK 0000874766)",8-K,2026-04-23,0000874766-26-000036:ex991earningsnewsrelease33.htm,2026-04-27T22:54:03Z
tornado,TBRG,"TruBridge, Inc.  (TBRG)  (CIK 0001169445)",8-K,2026-04-23,0001193125-26-172139:d46312dex21.htm,2026-04-27T22:54:03Z
natural_disaster,TMO,THERMO FISHER SCIENTIFIC INC.  (TMO)  (CIK 0000097745),8-K,2026-04-23,0000097745-26-000086:q12026earnings8kex99_1.htm,2026-04-27T22:54:03Z
natural_disaster,,"Athena Technology Acquisition Corp. II  (ATEK, ATEKU, ATEKW)  (CIK 0001882198)",8-K,2026-04-23,0001213900-26-047101:ea028748701ex10-1.htm,2026-04-27T22:54:03Z
natural_disaster,CPIX,CUMBERLAND PHARMACEUTICALS INC  (CPIX)  (CIK 0001087294),8-K,2026-04-23,0001104659-26-047335:tm2611622d1_ex2-1.htm,2026-04-27T22:54:03Z
hurricane,OCFC,OCEANFIRST FINANCIAL CORP  (OCFC)  (CIK 0001004702),8-K,2026-04-23,0001004702-26-000032:ex992q12026-earningsrele.htm,2026-04-27T22:54:03Z
hurricane,CNP,CENTERPOINT ENERGY INC  (CNP)  (CIK 0001130310),8-K,2026-04-23,0001104659-26-047123:tm2612248d1_ex99-1.htm,2026-04-27T22:54:03Z
hurricane,CNP,CENTERPOINT ENERGY INC  (CNP)  (CIK 0001130310),8-K,2026-04-23,0001104659-26-047123:tm2612248d1_ex99-2.htm,2026-04-27T22:54:03Z
