ticker,company,cik,fcf_ttm,fcf_3y_avg,fcf_5y_avg,revenue_ttm,revenue_5y_cagr,shares_out,cash,total_debt,wacc,growth_stage1,growth_terminal,horizon_years,pv_stage1,pv_terminal,enterprise_value,equity_value,intrinsic_value_per_share,current_price,upside_pct,dcf_grade,method_notes,captured_at
ASRT,"Assertio Holdings, Inc.",0001808665,26408000.0,51236000.0,32929600.0,118713000.0,0.0169,6445161.0,10229000.0,39124000.0,0.09,0.02,0.025,5,210852021.44,579767804.85,790619826.29,761724826.29,118.19,18.02,500.0,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
CUBB,"Customers Bancorp, Inc.",0001488813,494169000.0,242637333.33,174789400.0,0.0,0.0,34212174.0,4411463000.0,0,0.09,0.02,0.025,5,998527836.1,2745595169.84,3744123005.93,8155586005.93,238.38,22.95,500.0,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
LPRO,Open Lending Corp,0001806201,82602000.0,86646666.67,65123800.0,24024000.0,-0.2868,117676162.0,176614000.0,84766000.0,0.09,0.02,0.025,5,356577890.89,980461935.57,1337039826.47,1428887826.47,12.14,1.21,500.0,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
BATL,BATTALION OIL CORP,0001282648,35355000.0,49837000.0,57047600.0,166043000.0,-0.0603,18256563.0,27965000.0,203465000.0,0.09,0.02,0.025,5,205094702.8,563937233.4,769031936.2,593531936.2,32.51,4.21,500.0,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
ACI,"Albertsons Companies, Inc.",0001646972,2853900000.0,3423266666.67,2593120000.0,77649700000.0,0.0532,513913121.0,195100000.0,9824100000.0,0.09,0.0532,0.025,5,15458396212.64,45462507812.91,60920904025.56,51291904025.56,99.81,16.59,500.0,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
ADV,Advantage Solutions Inc.,0001776661,207801000.0,207807333.33,246303400.0,3900125000.0,0.0075,327507690.0,240850000.0,1673861000.0,0.09,0.02,0.025,5,855191589.97,2351471650.38,3206663240.34,1773652240.34,5.42,0.9,499.7,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
COLL,"COLLEGIUM PHARMACEUTICAL, INC",0001267565,274288000.0,274288000.0,186521000.0,566767000.0,0.1756,31753211.0,231252000.0,0,0.09,0.12,0.025,5,1488920422.09,4954216029.94,6443136452.03,6674388452.03,210.2,36.3,479.1,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
BRN,BARNWELL INDUSTRIES INC,0000010048,4710000.0,4277333.33,2866400.0,13697000.0,-0.0675,12566314.0,3622000.0,0,0.09,0.02,0.025,5,17602552.5,48400736.93,66003289.43,69625289.43,5.54,1.04,432.8,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
CLMB,"Climb Global Solutions, Inc.",0000945983,42123000.0,29602333.33,26297600.0,352013000.0,0.016,4605692.0,36563000.0,0,0.09,0.02,0.025,5,121822777.4,334969158.7,456791936.1,493354936.1,107.12,21.14,406.7,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
DVN,DEVON ENERGY CORP/DE,0001090012,6544000000.0,6657666666.67,4663800000.0,17188000000.0,0.2893,621000000.0,1384000000.0,8389000000.0,0.09,0.12,0.025,5,36139881669.94,120251410641.26,156391292311.21,149386292311.21,240.56,50.07,380.4,A,two_stage_damodaran_v1,2026-04-27T06:35:03Z
