quarter,ticker,cik,name,loc,revenue_q,net_income_q,margin_pct,captured_at
CY2026Q1,COST,909832,COSTCO WHOLESALE CORP /NEW,US-WA,69597000000,2035000000,2.92,2026-04-27T22:54:38Z
CY2026Q1,ELV,1156039,"ELEVANCE HEALTH, INC.",US-IN,50181000000,1764000000,3.52,2026-04-27T22:54:38Z
CY2026Q1,T-PC,732717,AT&T INC.,US-TX,31506000000,3829000000,12.15,2026-04-27T22:54:38Z
CY2026Q1,TSLA,1318605,"Tesla, Inc.",US-TX,22387000000,477000000,2.13,2026-04-27T22:54:38Z
CY2026Q1,BA-PA,12927,THE BOEING COMPANY,US-VA,22217000000,-4000000,-0.02,2026-04-27T22:54:38Z
CY2026Q1,PG,80424,PROCTER & GAMBLE CO,US-OH,21235000000,3932000000,18.52,2026-04-27T22:54:38Z
CY2026Q1,PEP,77476,"PepsiCo, Inc.",US-NY,19443000000,2327000000,11.97,2026-04-27T22:54:38Z
CY2026Q1,ACN,1467373,Accenture plc,IE-,18044066000,1825239000,10.12,2026-04-27T22:54:38Z
CY2026Q1,LMT,936468,LOCKHEED MARTIN CORPORATION,US-MD,18021000000,1488000000,8.26,2026-04-27T22:54:38Z
CY2026Q1,IBM,51143,INTERNATIONAL BUSINESS MACHINES CORPORATION,US-NY,15917000000,1216000000,7.64,2026-04-27T22:54:38Z
CY2026Q1,CHTR,1091667,"Charter Communications, Inc.",US-CT,13597000000,1163000000,8.55,2026-04-27T22:54:38Z
CY2026Q1,,1271833,"CCO Holdings, LLC",US-CT,13597000000,1806000000,13.28,2026-04-27T22:54:38Z
CY2026Q1,GE,40545,GENERAL ELECTRIC COMPANY,US-OH,12392000000,1904000000,15.36,2026-04-27T22:54:38Z
CY2026Q1,NFLX,1065280,"Netflix, Inc.",US-CA,12249757000,5282791000,43.13,2026-04-27T22:54:38Z
CY2026Q1,TRV,86312,"Travelers Companies, Inc.",US-NY,11924000000,1711000000,14.35,2026-04-27T22:54:38Z
CY2026Q1,MOH,1179929,"MOLINA HEALTHCARE, INC.",US-CA,10796000000,14000000,0.13,2026-04-27T22:54:38Z
CY2026Q1,CBRE,1138118,"CBRE GROUP, INC.",US-TX,10527000000,318000000,3.02,2026-04-27T22:54:38Z
CY2026Q1,NOC,1133421,NORTHROP GRUMMAN CORP /DE/,US-VA,9881000000,875000000,8.86,2026-04-27T22:54:38Z
CY2026Q1,DOW,1751788,Dow Inc.,US-MI,9794000000,-533000000,-5.44,2026-04-27T22:54:38Z
CY2026Q1,WKC,789460,WORLD KINECT CORPORATION,US-FL,9685000000,26200000,0.27,2026-04-27T22:54:38Z
CY2026Q1,CHSCO,823277,CHS Inc.,US-MN,8353791000,-147052000,-1.76,2026-04-27T22:54:38Z
CY2026Q1,DHI,882184,"D.R. Horton, Inc.",US-TX,7558100000,647900000,8.57,2026-04-27T22:54:38Z
CY2026Q1,HIG-PG,874766,"The Hartford Insurance Group, Inc.",US-CT,7226000000,856000000,11.85,2026-04-27T22:54:38Z
CY2026Q1,PCG-PX,1004980,PG&E CORP,US-CA,6881000000,,,2026-04-27T22:54:38Z
CY2026Q1,LEN-B,920760,LENNAR CORP /NEW/,US-FL,6619476000,229383000,3.47,2026-04-27T22:54:38Z
CY2026Q1,ADBE,796343,ADOBE INC.,US-CA,6398000000,1889000000,29.52,2026-04-27T22:54:38Z
CY2026Q1,MMM,66740,3M COMPANY,US-MN,6030000000,653000000,10.83,2026-04-27T22:54:38Z
CY2026Q1,CLF,764065,CLEVELAND-CLIFFS INC.,US-OH,4922000000,-237000000,-4.82,2026-04-27T22:54:38Z
CY2026Q1,EP-PC,1506307,"KINDER MORGAN, INC.",US-TX,4828000000,976000000,20.22,2026-04-27T22:54:38Z
CY2026Q1,URI,1067701,"United Rentals, Inc.",US-CT,3985000000,531000000,13.32,2026-04-27T22:54:38Z
CY2026Q1,LVS,1300514,LAS VEGAS SANDS CORP.,US-NV,3585000000,567000000,15.82,2026-04-27T22:54:38Z
CY2026Q1,EQT,33213,EQT CORPORATION,US-PA,3378736000,1487229000,44.02,2026-04-27T22:54:38Z
CY2026Q1,R,85961,"RYDER SYSTEM, INC.",US-FL,3126000000,93000000,2.98,2026-04-27T22:54:38Z
CY2026Q1,CNP,1130310,"CenterPoint Energy, Inc.",US-TX,2975000000,316000000,10.62,2026-04-27T22:54:38Z
CY2026Q1,CYH,1108109,"COMMUNITY HEALTH SYSTEMS, INC.",US-TN,2965000000,-58000000,-1.96,2026-04-27T22:54:38Z
CY2026Q1,JEF,96223,Jefferies Financial Group Inc.,US-NY,2871265000,,,2026-04-27T22:54:38Z
CY2026Q1,FIX,1035983,"COMFORT SYSTEMS USA, INC.",US-TX,2865332000,370378000,12.93,2026-04-27T22:54:38Z
CY2026Q1,CINF,20286,CINCINNATI FINANCIAL CORPORATION,US-OH,2863000000,274000000,9.57,2026-04-27T22:54:38Z
CY2026Q1,WCN,1318220,"WASTE CONNECTIONS, INC.",CA-ON,2370631000,,,2026-04-27T22:54:38Z
CY2026Q1,BRO,79282,"BROWN & BROWN, INC.",US-FL,1901000000,426000000,22.41,2026-04-27T22:54:38Z
CY2026Q1,CME,1156375,CME GROUP INC.,US-IL,1880100000,,,2026-04-27T22:54:38Z
CY2026Q1,MKC-V,63754,"McCORMICK & COMPANY, INCORPORATED",US-MD,1873900000,1016200000,54.23,2026-04-27T22:54:38Z
CY2026Q1,FAF,1472787,FIRST AMERICAN FINANCIAL CORPORATION,US-CA,1838000000,125100000,6.81,2026-04-27T22:54:38Z
CY2026Q1,PAYX,723531,"Paychex, Inc.",US-NY,1808900000,560300000,30.97,2026-04-27T22:54:38Z
CY2026Q1,SIGIP,230557,"SELECTIVE INSURANCE GROUP, INC",US-NJ,1358925000,97676000,7.19,2026-04-27T22:54:38Z
CY2026Q1,SNA,91440,Snap-on Inc,US-WI,1308300000,247000000,18.88,2026-04-27T22:54:38Z
CY2026Q1,PSA-PG,1393311,Public Storage,US-TX,1217741000,526273000,43.22,2026-04-27T22:54:38Z
CY2026Q1,DPZ,1286681,"Domino’s Pizza, Inc.",US-MI,1150594000,139811000,12.15,2026-04-27T22:54:38Z
CY2026Q1,MOG-B,67887,MOOG Inc.,US-NY,1051947000,81839000,7.78,2026-04-27T22:54:38Z
CY2026Q1,FCFS,840489,"FIRSTCASH HOLDINGS, INC.",US-TX,1051651000,107702000,10.24,2026-04-27T22:54:38Z
CY2026Q1,RRC,315852,RANGE RESOURCES CORPORATION,US-TX,1034170000,341630000,33.03,2026-04-27T22:54:38Z
CY2026Q1,LBRT,1694028,Liberty Energy Inc.,US-CO,1021184000,22558000,2.21,2026-04-27T22:54:38Z
CY2026Q1,,100790,Union Carbide Corporation,US-TX,989000000,-79000000,-7.99,2026-04-27T22:54:38Z
CY2026Q1,WU,1365135,THE WESTERN UNION COMPANY,US-CO,982700000,64700000,6.58,2026-04-27T22:54:38Z
CY2026Q1,TNL,1361658,Travel & Leisure Co.,US-FL,961000000,79000000,8.22,2026-04-27T22:54:38Z
CY2026Q1,MHO,799292,"M/I HOMES, INC.",US-OH,920707000,67832000,7.37,2026-04-27T22:54:38Z
CY2026Q1,ENVA,1529864,"Enova International, Inc.",US-IL,875142000,91099000,10.41,2026-04-27T22:54:38Z
CY2026Q1,CCS,1576940,"Century Communities, Inc.",US-CO,789673000,24409000,3.09,2026-04-27T22:54:38Z
