ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,direction,filed_current,accn_current,captured_at
PSEC-PA,PROSPECT CAPITAL CORP,0001287032,CY2025Q4,23719000,CY2024Q4,-66000,36037.88,LOSS_TO_PROFIT,,0001287032-26-000045,2026-04-27T23:04:08Z
JRSH,"Jerash Holdings (US), Inc.",0001696558,CY2025Q4,1170575,CY2024Q4,-5806,20261.47,LOSS_TO_PROFIT,,0001213900-26-014379,2026-04-27T23:04:08Z
QUMSR,Quantumsphere Acquisition Corporation,0002070900,CY2025Q4,521600,CY2024Q4,-3840,13683.33,LOSS_TO_PROFIT,,0001829126-26-001512,2026-04-27T23:04:08Z
ABBV,AbbVie Inc.,0001551152,CY2025Q4,1816000000,CY2024Q4,-22000000,8354.55,LOSS_TO_PROFIT,,0001551152-26-000008,2026-04-27T23:04:08Z
CMT,"CORE MOLDING TECHNOLOGIES, INC.",0001026655,CY2025Q4,3083000,CY2024Q4,-39000,8005.13,LOSS_TO_PROFIT,,0001026655-26-000009,2026-04-27T23:04:08Z
ARL,"American Realty Investors, Inc.",0001102238,CY2025Q4,9782000,CY2024Q4,-161000,6175.78,LOSS_TO_PROFIT,,0001102238-26-000004,2026-04-27T23:04:08Z
IRT,"INDEPENDENCE REALTY TRUST, INC.",0001466085,CY2025Q4,33265000,CY2024Q4,-1001000,3423.18,LOSS_TO_PROFIT,,0001437749-26-004376,2026-04-27T23:04:08Z
QNST,"QuinStreet, Inc.",0001117297,CY2025Q4,50227000,CY2024Q4,-1549000,3342.54,LOSS_TO_PROFIT,,0001193125-26-040809,2026-04-27T23:04:08Z
THO,"THOR Industries, Inc.",0000730263,CY2025Q4,17803000,CY2024Q4,-551000,3331.03,LOSS_TO_PROFIT,,0000730263-26-000007,2026-04-27T23:04:08Z
BAR,GRANITESHARES GOLD TRUST,0001690437,CY2025Q4,162747000,CY2024Q4,-6318000,2675.93,LOSS_TO_PROFIT,,0001493152-26-004999,2026-04-27T23:04:08Z
