ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,filed_current,accn_current,captured_at
ADTI,"Adapti, Inc.",0001420924,CY2025Q4,1525695,CY2024Q4,1244,122544.29,,0001493152-26-007128,2026-04-27T23:04:08Z
ALDS,"APPLIFE DIGITAL SOLUTIONS, INC.",0001755101,CY2025Q4,894309,CY2024Q4,1135,78693.74,,0001096906-26-000214,2026-04-27T23:04:08Z
UMEW,UMeWorld Inc.,0001114936,CY2025Q4,147455,CY2024Q4,195,75517.95,,0001477932-26-000998,2026-04-27T23:04:08Z
NGTF,"NIGHTFOOD HOLDINGS, INC.",0001593001,CY2025Q4,2211029,CY2024Q4,15141,14502.93,,0001493152-26-007743,2026-04-27T23:04:08Z
HCIL,"Hongchang International Co., Ltd",0001086303,CY2025Q4,4017635,CY2024Q4,46392,8560.19,,0001213900-26-015896,2026-04-27T23:04:08Z
KRFG,"King Resources, Inc.",0000774415,CY2025Q4,589880,CY2024Q4,19239,2966.06,,0001683168-26-001246,2026-04-27T23:04:08Z
KARX,KARBON-X CORP.,0001729637,CY2025Q4,20847625,CY2024Q4,1175060,1674.18,,0001477932-26-000285,2026-04-27T23:04:08Z
THTG,TECH TONIC GROUP CORP.,0002029303,CY2025Q4,15420,CY2024Q4,1000,1442.00,,0001477932-26-000493,2026-04-27T23:04:08Z
AMST,AMESITE INC.,0001807166,CY2025Q4,108050,CY2024Q4,12760,746.79,,0001213900-26-012916,2026-04-27T23:04:08Z
ZICX,ZICIX CORPORATION,0001465311,CY2025Q4,431981,CY2024Q4,69978,517.31,,0001683168-26-001205,2026-04-27T23:04:08Z
FWDI,"FORWARD INDUSTRIES, INC.",0000038264,CY2025Q4,21435250,CY2024Q4,4624449,363.52,,0001683168-26-000960,2026-04-27T23:04:08Z
ARBEW,ARBE ROBOTICS LTD.,0001861841,CY2025Q4,458000,CY2024Q4,99000,362.63,,0001213900-26-020629,2026-04-27T23:04:08Z
NRT,NORTH EUROPEAN OIL ROYALTY TRUST,0000072633,CY2025Q4,2230958,CY2024Q4,519433,329.50,,0001140361-26-007364,2026-04-27T23:04:08Z
BENFW,Beneficient,0001775734,CY2025Q4,18670000,CY2024Q4,4419000,322.49,,0001775734-26-000012,2026-04-27T23:04:08Z
ZONE,"CleanCore Solutions, Inc.",0001956741,CY2025Q4,1068851,CY2024Q4,257269,315.46,,0001213900-26-015016,2026-04-27T23:04:08Z
MWAI,"MEDWELLAI, INC.",0001520118,CY2025Q4,548315,CY2024Q4,142861,283.81,,0001477932-26-000970,2026-04-27T23:04:08Z
TGL,Treasure Global Inc,0001905956,CY2025Q4,1080992,CY2024Q4,301898,258.07,,0001213900-26-019296,2026-04-27T23:04:08Z
PHCI,PANAMERA HOLDINGS CORPORATION,0001620749,CY2025Q4,139500,CY2024Q4,39231,255.59,,0001640334-26-000512,2026-04-27T23:04:08Z
VIPZ,"VIP     Play, Inc.",0001832161,CY2025Q4,72000,CY2024Q4,22000,227.27,,0001493152-26-007185,2026-04-27T23:04:08Z
HIVE,HIVE Digital Technologies Ltd.,0001720424,CY2025Q4,93111000,CY2024Q4,29229000,218.56,,0001062993-26-000943,2026-04-27T23:04:08Z
QDMI,QDM International Inc.,0001094032,CY2025Q4,4768347,CY2024Q4,1582429,201.33,,0001213900-26-017312,2026-04-27T23:04:08Z
RFL,"RAFAEL HOLDINGS, INC.",0001713863,CY2025Q4,211000,CY2024Q4,77000,174.03,,0001213900-26-028348,2026-04-27T23:04:08Z
ODRS,"OUTDOOR SPECIALTY PRODUCTS, INC.",0001610718,CY2025Q4,65,CY2024Q4,26,150.00,,0001096906-26-000185,2026-04-27T23:04:08Z
AERA,AI Era Corp.,0001605331,CY2025Q4,1523129,CY2024Q4,626350,143.18,,0001663577-26-000015,2026-04-27T23:04:08Z
GOLD,"GOLD.COM, INC.",0001591588,CY2025Q4,6476900000,CY2024Q4,2742345000,136.18,,0001193125-26-041321,2026-04-27T23:04:08Z
MWYN,"MARWYNN HOLDINGS, INC.",0002030522,CY2025Q4,1383941,CY2024Q4,623709,121.89,,0001213900-26-028659,2026-04-27T23:04:08Z
ESMR,E-SMART CORP.,0001995920,CY2025Q4,9609,CY2024Q4,4451,115.88,,0001995920-26-000003,2026-04-27T23:04:08Z
GHST,GHST World Inc.,0001121795,CY2025Q4,10367,CY2024Q4,4872,112.79,,0001079973-26-000196,2026-04-27T23:04:08Z
