ticker,short_pct_float,days_to_cover,float_shares_m,avg_volume_m,si_pct_raw,si_trend_pct
PK,19.35,8.97,183.93,3.97,19.35%,0.0
ERAS,18.19,6.37,186.79,5.33,18.19%,0.0
TRUP,11.93,8.02,30.2,0.45,11.93%,0.0
USAU,11.44,4.8,13.95,0.33,11.44%,0.0
KRC,11.16,5.66,116.8,2.3,11.16%,0.0
PACS,10.5,4.97,42.07,0.89,10.50%,0.0
LEVI,10.28,3.22,89.98,2.87,10.28%,0.0
AEYE,9.5,3.75,7.83,0.2,9.50%,0.0
UTZ,9.3,3.56,71.92,1.88,9.30%,0.0
GH,9.23,5.77,126.09,2.02,9.23%,0.0
SRTA,9.04,7.6,65.33,0.78,9.04%,0.0
MTDR,7.19,4.29,115.17,1.93,7.19%,0.0
BAH,6.51,3.46,119.31,2.25,6.51%,0.0
FSUN,6.44,6.08,20.18,0.21,6.44%,0.0
SBEV,6.39,0.28,9.34,2.11,6.39%,0.0
BRO,6.37,5.44,289.71,3.39,6.37%,0.0
MANE,6.23,4.01,28.75,0.45,6.23%,0.0
PAHC,6.12,4.34,20.38,0.29,6.12%,0.0
CBNK,5.6,9.44,10.91,0.06,5.60%,0.0
SKY,5.5,4.49,54.36,0.67,5.50%,0.0
WKHS,5.48,4.24,7.79,0.1,5.48%,0.0
CDP,5.46,5.44,112.96,1.14,5.46%,0.0
LC,4.88,2.51,111.31,2.16,4.88%,0.0
CCK,4.75,4.63,111.17,1.14,4.75%,0.0
ARE,4.37,2.99,169.41,2.47,4.37%,0.0
VTR,4.03,5.95,472.88,3.2,4.03%,0.0
FBK,3.88,5.43,43.47,0.31,3.88%,0.0
CTOS,3.76,2.6,59.18,0.86,3.76%,0.0
CBSH,3.69,3.86,141.51,1.35,3.69%,0.0
KINS,3.57,3.19,11.1,0.12,3.57%,0.0
MATX,3.28,3.42,29.65,0.28,3.28%,0.0
GABC,3.25,7.39,36.35,0.16,3.25%,0.0
INM,2.89,0.9,3.31,0.11,2.89%,0.0
CMG,2.86,2.25,1290.0,16.43,2.86%,0.0
HLMN,2.84,3.39,192.66,1.61,2.84%,0.0
MLM,2.81,3.23,59.77,0.52,2.81%,0.0
BTCT,2.63,2.57,9.5,0.1,2.63%,0.0
CI,2.47,3.71,259.59,1.73,2.47%,0.0
RNGR,2.39,2.34,18.54,0.19,2.39%,0.0
UHT,2.37,4.59,12.72,0.07,2.37%,0.0
PFE,2.35,3.19,5680.0,41.8,2.35%,0.0
CLS,2.27,1.06,113.69,2.43,2.27%,0.0
ASTE,2.15,2.22,22.6,0.22,2.15%,0.0
LXU,2.1,0.8,54.49,1.43,2.10%,0.0
WABC,2.09,2.43,22.97,0.2,2.09%,0.0
SUI,2.03,2.92,121.72,0.85,2.03%,0.0
NUE,1.94,2.65,226.32,1.66,1.94%,0.0
OTLY,1.71,6.87,29.23,0.07,1.71%,0.0
TFII,1.7,3.19,76.85,0.41,1.70%,0.0
SEER,1.47,1.18,29.44,0.37,1.47%,0.0
CR,1.42,1.54,57.14,0.52,1.42%,0.0
CME,1.33,2.02,361.24,2.38,1.33%,0.0
ANTA,0.94,2.82,2.51,0.01,0.94%,0.0
MRBK,0.92,0.79,9.06,0.11,0.92%,0.0
LU,0.9,4.61,838.23,1.63,0.90%,0.0
FLYE,0.85,0.05,1.46,0.27,0.85%,0.0
NOA,0.79,1.58,25.28,0.13,0.79%,0.0
BPRN,0.71,2.44,4.8,0.01,0.71%,0.0
FDBC,0.62,4.21,4.61,0.01,0.62%,0.0
GURE,0.53,0.14,0.97,0.04,0.53%,0.0
ELSE,0.21,0.25,1.63,0.01,0.21%,0.0
TV,0.2,0.66,434.11,1.31,0.20%,0.0
CHAR,0.06,0.28,8.59,0.02,0.06%,0.0
KVAC,0.01,0.04,1.09,0.0,0.01%,0.0
IPOD,0.01,0.09,14.48,0.02,0.01%,0.0
YSWY,0.0,0.0,0.0,3.52,-,0.0
