month,ssn,smoothed_ssn,f107,smoothed_f107,cycle_phase,captured_at
2026-03,85.9,-1.0,130.7,-1.0,unknown,2026-04-27T23:11:53Z
2026-02,78.2,-1.0,135.9,-1.0,unknown,2026-04-27T23:11:53Z
2026-01,112.5,-1.0,151.2,-1.0,unknown,2026-04-27T23:11:53Z
2025-12,124.2,-1.0,160.1,-1.0,unknown,2026-04-27T23:11:53Z
2025-11,91.7,-1.0,141.6,-1.0,unknown,2026-04-27T23:11:53Z
2025-10,114.8,-1.0,139.7,-1.0,unknown,2026-04-27T23:11:53Z
2025-09,129.7,112.9,153.9,146.1,descending,2026-04-27T23:11:53Z
2025-08,133.7,118.2,156.1,149.5,descending,2026-04-27T23:11:53Z
2025-07,125.9,122.4,137.7,153.1,descending,2026-04-27T23:11:53Z
2025-06,114.6,124.7,131.4,156.2,descending,2026-04-27T23:11:53Z
2025-05,78.5,128.6,135.2,160.2,descending,2026-04-27T23:11:53Z
2025-04,141.4,133.3,162.2,166.1,descending,2026-04-27T23:11:53Z
2025-03,134.2,135.9,163.8,171.3,descending,2026-04-27T23:11:53Z
2025-02,155.7,139.8,184.3,176.8,descending,2026-04-27T23:11:53Z
2025-01,137.0,146.2,189.4,183.1,descending,2026-04-27T23:11:53Z
2024-12,154.6,151.2,196.9,187.9,descending,2026-04-27T23:11:53Z
2024-11,154.1,157.2,199.9,192.3,descending,2026-04-27T23:11:53Z
2024-10,165.8,160.9,222.6,194.5,ascending,2026-04-27T23:11:53Z
2024-09,141.1,159.4,196.7,194.1,ascending,2026-04-27T23:11:53Z
2024-08,216.0,156.8,245.6,193.3,ascending,2026-04-27T23:11:53Z
2024-07,196.8,155.0,198.6,191.8,ascending,2026-04-27T23:11:53Z
2024-06,164.1,152.8,185.1,189.1,ascending,2026-04-27T23:11:53Z
2024-05,172.1,149.1,188.4,185.7,ascending,2026-04-27T23:11:53Z
2024-04,137.0,144.4,161.7,180.4,ascending,2026-04-27T23:11:53Z
2024-03,103.7,141.4,155.2,175.3,ascending,2026-04-27T23:11:53Z
2024-02,123.0,136.9,173.3,169.8,ascending,2026-04-27T23:11:53Z
2024-01,126.0,131.2,164.0,165.1,ascending,2026-04-27T23:11:53Z
2023-12,113.5,129.5,159.3,163.3,ascending,2026-04-27T23:11:53Z
2023-11,107.1,127.9,154.4,161.0,ascending,2026-04-27T23:11:53Z
2023-10,99.9,124.8,141.6,159.0,plateau,2026-04-27T23:11:53Z
2023-09,134.2,124.0,155.7,158.4,plateau,2026-04-27T23:11:53Z
2023-08,114.8,124.3,153.9,158.5,plateau,2026-04-27T23:11:53Z
2023-07,160.0,124.6,177.5,159.2,plateau,2026-04-27T23:11:53Z
2023-06,160.5,125.3,162.4,159.5,ascending,2026-04-27T23:11:53Z
2023-05,137.4,124.2,156.0,157.8,ascending,2026-04-27T23:11:53Z
2023-04,97.6,122.9,145.9,156.1,ascending,2026-04-27T23:11:53Z
2023-03,123.3,121.1,157.5,154.9,ascending,2026-04-27T23:11:53Z
2023-02,111.3,117.8,172.1,152.5,ascending,2026-04-27T23:11:53Z
2023-01,144.4,113.3,182.5,148.9,ascending,2026-04-27T23:11:53Z
2022-12,112.8,106.7,148.5,144.7,ascending,2026-04-27T23:11:53Z
2022-11,80.5,101.2,123.6,141.9,ascending,2026-04-27T23:11:53Z
2022-10,95.5,98.9,132.8,140.3,ascending,2026-04-27T23:11:53Z
2022-09,96.0,96.5,134.7,138.0,ascending,2026-04-27T23:11:53Z
2022-08,74.6,92.6,118.1,133.8,ascending,2026-04-27T23:11:53Z
2022-07,91.4,86.7,125.6,127.9,ascending,2026-04-27T23:11:53Z
2022-06,70.3,81.1,115.8,122.7,ascending,2026-04-27T23:11:53Z
2022-05,96.5,77.4,134.0,119.3,ascending,2026-04-27T23:11:53Z
