launch_id,name,date_utc,window_start,status,rocket,provider,pad,location,mission,captured_at
7e89e423-6f47-40a0-b075-c6fc1d9cf228,Atlas V 551 | Amazon Leo (LA-06),2026-04-28T00:52:00Z,2026-04-28T00:52:00Z,Go,Atlas V 551,United Launch Alliance,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Amazon Leo (LA-06),2026-04-27T23:11:52Z
4cc237b2-c61a-491e-9532-466cce81f524,Falcon Heavy | ViaSat-3 F3 (ViaSat-3 Asia-Pacific),2026-04-29T14:13:00Z,2026-04-29T14:13:00Z,Go,Falcon Heavy,SpaceX,Launch Complex 39A,"Kennedy Space Center, FL, USA",ViaSat-3 F3 (ViaSat-3 Asia-Pacific),2026-04-27T23:11:52Z
aafe107e-46d8-420c-bcb9-192069d80893,Soyuz 2.1b | 16 x Rassvet-3,2026-04-30T00:00:00Z,2026-04-30T00:00:00Z,TBD,Soyuz 2.1b,Russian Federal Space Agency (RO,Unknown Pad,"Plesetsk Cosmodrome, Russian Fed",16 x Rassvet-3,2026-04-27T23:11:52Z
74b3aa8f-dc54-43dd-b8dd-1dc62ccccfc4,Soyuz-5 | Demo Flight,2026-04-30T00:00:00Z,2026-04-30T00:00:00Z,TBD,Soyuz-5,RKK Energiya,45/1,"Baikonur Cosmodrome, Republic of",Demo Flight,2026-04-27T23:11:52Z
4aa02420-1bcb-4dd9-afa8-06d5ff89d248,Zhuque-2E | Unknown Payload,2026-04-30T00:00:00Z,2026-04-30T00:00:00Z,TBD,Zhuque-2E,LandSpace,Launch Area 96A,"Jiuquan Satellite Launch Center,",Unknown Payload,2026-04-27T23:11:52Z
6bfe08b4-a35d-4297-8de7-dec0eb678eb6,Falcon 9 Block 5 | Starlink Group 17-36,2026-04-30T02:00:00Z,2026-04-30T02:00:00Z,Go,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Starlink Group 17-36,2026-04-27T23:11:52Z
7bffe283-a708-427d-ba0d-43ea741453b1,Ariane 64 | Amazon Leo (LE-02),2026-04-30T08:08:00Z,2026-04-30T08:08:00Z,Go,Ariane 64,Arianespace,Ariane Launch Area 4,"Guiana Space Centre, French Guia",Amazon Leo (LE-02),2026-04-27T23:11:52Z
b3877a27-7332-47cb-ac46-12a32143081b,Falcon 9 Block 5 | Starlink Group 10-38,2026-05-01T17:33:00Z,2026-05-01T17:33:00Z,Go,Falcon 9,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Starlink Group 10-38,2026-04-27T23:11:52Z
05530ccb-7184-41e7-b2e5-c090b61e0e3a,Falcon 9 Block 5 | CAS500-2 & Others,2026-05-03T06:59:00Z,2026-05-03T06:59:00Z,Go,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",CAS500-2 & Others,2026-04-27T23:11:52Z
dd82ccd7-9ab2-410a-ac41-306218015c05,Falcon 9 Block 5 | Starlink Group 17-29,2026-05-06T02:00:00Z,2026-05-06T02:00:00Z,Go,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Starlink Group 17-29,2026-04-27T23:11:52Z
e60aa241-1f2c-4459-ba94-2f576c3e5632,Falcon 9 Block 5 | Dragon CRS-2 SpX-34,2026-05-12T23:00:00Z,2026-05-12T23:00:00Z,TBC,Falcon 9,SpaceX,Unknown Pad,"Cape Canaveral SFS, FL, USA",Dragon CRS-2 SpX-34,2026-04-27T23:11:52Z
b31313da-ee5d-42b2-9a27-20cc18105276,Vega-C | Solar wind Magnetosphere Ionosphere Link Explorer (SMIL,2026-05-19T03:52:00Z,2026-05-19T03:52:00Z,Go,Vega-C,Avio S.p.A,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guia",Solar wind Magnetosphere Ionosphere Link Explore,2026-04-27T23:11:52Z
156a9e46-01b5-46f4-818e-ea563c71c5fe,Electron | StriX Launch 9,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z,TBD,Electron,Rocket Lab,Unknown Pad,"Rocket Lab Launch Complex 1, Mah",StriX Launch 9,2026-04-27T23:11:52Z
8b7e748c-6ed5-4681-a898-827b4a23b8d7,Electron | The Grain Goddess Provides (iQPS Launch 7),2026-05-31T00:00:00Z,2026-05-31T00:00:00Z,TBD,Electron,Rocket Lab,Unknown Pad,"Rocket Lab Launch Complex 1, Mah",The Grain Goddess Provides (iQPS Launch 7),2026-04-27T23:11:52Z
1e79a5e9-c02c-470f-882f-884120100fef,Long March 10B | Demo Flight,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z,TBD,Long March 10B,China Aerospace Science and Tech,Commercial LC-2,"Wenchang Space Launch Site, Peop",Demo Flight,2026-04-27T23:11:52Z
