report_date,event_type,time_utc,magnitude,state,county,location,lat,lon,captured_at
2026-04-27,wind,1215,UNK,MO,Howard,Armstrong,39.27,-92.7,2026-04-27T22:48:33Z
2026-04-27,wind,1224,UNK,MO,Saline,Slater,39.22,-93.06,2026-04-27T22:48:33Z
2026-04-27,wind,1225,UNK,MO,Cass,Harrisonville,38.65,-94.35,2026-04-27T22:48:33Z
2026-04-27,wind,1228,UNK,MO,Randolph,4 NNE Higbee,39.35,-92.48,2026-04-27T22:48:33Z
2026-04-27,wind,1229,UNK,MO,Randolph,4 WNW Renick,39.36,-92.47,2026-04-27T22:48:33Z
2026-04-27,wind,1230,UNK,MO,Howard,5 S Higbee,39.23,-92.52,2026-04-27T22:48:33Z
2026-04-27,wind,1230,UNK,MO,Howard,5 S Higbee,39.24,-92.51,2026-04-27T22:48:33Z
2026-04-27,wind,1231,UNK,MO,Randolph,2 NW Renick,39.37,-92.44,2026-04-27T22:48:33Z
2026-04-27,wind,1231,UNK,MO,Randolph,2 S Moberly,39.4,-92.44,2026-04-27T22:48:33Z
2026-04-27,wind,1233,UNK,MO,Randolph,3 ESE Huntsville,39.42,-92.49,2026-04-27T22:48:33Z
2026-04-27,wind,1235,UNK,MO,Randolph,Renick,39.34,-92.41,2026-04-27T22:48:33Z
2026-04-27,wind,1235,62,MO,Randolph,3 N Moberly,39.46,-92.43,2026-04-27T22:48:33Z
2026-04-27,wind,1251,65,MO,Monroe,3 W Granville,39.56,-92.15,2026-04-27T22:48:33Z
2026-04-27,wind,1425,UNK,IL,Morgan,1 SW Chapin,39.76,-90.42,2026-04-27T22:48:33Z
2026-04-27,wind,1431,UNK,IL,McDonough,Macomb,40.47,-90.68,2026-04-27T22:48:33Z
2026-04-27,wind,1436,60,IL,Fulton,1 N Marietta,40.51,-90.39,2026-04-27T22:48:33Z
2026-04-27,wind,1538,UNK,IL,Montgomery,1 NNE Farmersville,39.46,-89.64,2026-04-27T22:48:33Z
2026-04-27,wind,1548,UNK,IL,Christian,2 SW Taylorville Airpor,39.5,-89.36,2026-04-27T22:48:33Z
2026-04-27,wind,1741,UNK,IL,Effingham,Altamont,39.06,-88.75,2026-04-27T22:48:33Z
2026-04-27,wind,1844,UNK,IN,Sullivan,Shelburn,39.18,-87.4,2026-04-27T22:48:33Z
2026-04-27,wind,1852,UNK,IL,Madison,2 SW Marine,38.77,-89.8,2026-04-27T22:48:33Z
2026-04-27,wind,1931,UNK,IN,Greene,Bloomfield,39.03,-86.94,2026-04-27T22:48:33Z
2026-04-27,wind,1943,61,IN,Monroe,3 SW Whitehall,39.15,-86.62,2026-04-27T22:48:33Z
2026-04-27,wind,1957,60,IN,Daviess,1 WSW Crane,38.89,-86.92,2026-04-27T22:48:33Z
2026-04-27,wind,2000,UNK,MO,Lincoln,5 W Winfield,38.99,-90.83,2026-04-27T22:48:33Z
