vector_id,series_name,ref_period,value,decimals,captured_at
52367097,yield_10y_bench,2022-12-01,62122558.0000,,2026-04-27T23:11:24Z
52367097,yield_10y_bench,2022-11-01,61788075.0000,,2026-04-27T23:11:24Z
52367097,yield_10y_bench,2022-10-01,61814032.0000,,2026-04-27T23:11:24Z
62305752,unemployment_rate,2025-10-01,2502165.0000,,2026-04-27T23:11:24Z
62305752,unemployment_rate,2025-07-01,2505960.0000,,2026-04-27T23:11:24Z
62305752,unemployment_rate,2025-04-01,2491233.0000,,2026-04-27T23:11:24Z
1001828100,housing_starts_urban,2023-07-01,125.9000,1,2026-04-27T23:11:24Z
1001828100,housing_starts_urban,2023-04-01,160.4000,1,2026-04-27T23:11:24Z
1001828100,housing_starts_urban,2023-01-01,138.9000,1,2026-04-27T23:11:24Z
80691038,gdp_growth_expenditure,2010-01-01,0.0000,1,2026-04-27T23:11:24Z
80691038,gdp_growth_expenditure,2007-01-01,6.6000,1,2026-04-27T23:11:24Z
41690973,cpi_all_items_yoy,2026-03-01,167.4000,1,2026-04-27T23:11:24Z
41690973,cpi_all_items_yoy,2026-02-01,165.9000,1,2026-04-27T23:11:24Z
41690973,cpi_all_items_yoy,2026-01-01,165.0000,1,2026-04-27T23:11:24Z
65201210,cad_usd_spot,2026-01-01,2342804.0000,,2026-04-27T23:11:24Z
65201210,cad_usd_spot,2025-12-01,2341221.0000,,2026-04-27T23:11:24Z
65201210,cad_usd_spot,2025-11-01,2335511.0000,,2026-04-27T23:11:24Z
