rank,appid,name,current_players,peak_24h,captured_at
1,730,Counter-Strike 2,0,1556363,2026-04-27T23:12:36Z
2,578080,PUBG: BATTLEGROUNDS,0,880710,2026-04-27T23:12:36Z
3,570,Dota 2,0,697050,2026-04-27T23:12:36Z
4,431960,Wallpaper Engine,0,117684,2026-04-27T23:12:36Z
5,2868840,Slay the Spire 2,0,248021,2026-04-27T23:12:36Z
6,1172470,Apex Legends™,0,259650,2026-04-27T23:12:36Z
7,271590,Grand Theft Auto V Legacy,0,92962,2026-04-27T23:12:36Z
8,322170,Geometry Dash,0,90585,2026-04-27T23:12:36Z
9,2767030,Marvel Rivals,0,135882,2026-04-27T23:12:36Z
10,2676230,FiveM,0,217517,2026-04-27T23:12:36Z
11,3041230,Windrose,0,211127,2026-04-27T23:12:36Z
12,359550,Tom Clancy's Rainbow Six Siege,0,106453,2026-04-27T23:12:36Z
13,236390,War Thunder,0,87713,2026-04-27T23:12:36Z
14,2357570,Overwatch®,0,80795,2026-04-27T23:12:36Z
15,3321460,Crimson Desert,0,134225,2026-04-27T23:12:36Z
16,413150,Stardew Valley,0,107023,2026-04-27T23:12:36Z
17,1808500,ARC Raiders,0,104355,2026-04-27T23:12:36Z
18,381210,Dead by Daylight,0,69450,2026-04-27T23:12:36Z
19,230410,Warframe,0,86650,2026-04-27T23:12:36Z
20,3405690,EA SPORTS FC™ 26,0,76315,2026-04-27T23:12:36Z
21,2507950,,0,158880,2026-04-27T23:12:36Z
22,1422450,,0,86134,2026-04-27T23:12:36Z
23,252490,,0,141376,2026-04-27T23:12:36Z
24,553850,,0,48871,2026-04-27T23:12:36Z
25,2807960,,0,57117,2026-04-27T23:12:36Z
26,3240220,,0,77792,2026-04-27T23:12:36Z
27,105600,,0,39938,2026-04-27T23:12:36Z
28,1973530,,0,46593,2026-04-27T23:12:36Z
29,3241660,,0,42704,2026-04-27T23:12:36Z
30,227300,,0,52437,2026-04-27T23:12:36Z
31,440,,0,64562,2026-04-27T23:12:36Z
32,438100,,0,64440,2026-04-27T23:12:36Z
33,550,,0,35946,2026-04-27T23:12:36Z
34,1086940,,0,69222,2026-04-27T23:12:36Z
35,394360,,0,59703,2026-04-27T23:12:36Z
36,322330,,0,54864,2026-04-27T23:12:36Z
37,1203220,,0,65920,2026-04-27T23:12:36Z
38,1245620,,0,49642,2026-04-27T23:12:36Z
39,1091500,,0,51194,2026-04-27T23:12:36Z
40,284160,,0,33591,2026-04-27T23:12:36Z
41,1174180,,0,43622,2026-04-27T23:12:36Z
42,1938090,,0,46023,2026-04-27T23:12:36Z
43,3265700,,0,44595,2026-04-27T23:12:36Z
44,3357650,,0,42493,2026-04-27T23:12:36Z
45,4000,,0,38225,2026-04-27T23:12:36Z
46,252950,,0,32216,2026-04-27T23:12:36Z
47,1222670,,0,37627,2026-04-27T23:12:36Z
48,250900,,0,25268,2026-04-27T23:12:36Z
49,108600,,0,42222,2026-04-27T23:12:36Z
50,3527290,,0,24580,2026-04-27T23:12:36Z
