ticker,watchers,bullish_pct,bearish_pct,captured_at
POET,25056,,,2026-04-27T22:58:49Z
MLEC,2221,,,2026-04-27T22:58:49Z
NVDA,643387,,,2026-04-27T22:58:49Z
RUM,32508,,,2026-04-27T22:58:49Z
CRML,13536,,,2026-04-27T22:58:49Z
RDDT,32754,,,2026-04-27T22:58:49Z
BBBY,76536,,,2026-04-27T22:58:49Z
HTCO,544,,,2026-04-27T22:58:49Z
JOBY,27443,,,2026-04-27T22:58:49Z
PENGU.X,4510,,,2026-04-27T22:58:49Z
GOOGL,215933,,,2026-04-27T22:58:49Z
VZ,56077,,,2026-04-27T22:58:49Z
DSIT.X,88,,,2026-04-27T22:58:49Z
USAR,16427,,,2026-04-27T22:58:49Z
SGMT,2217,,,2026-04-27T22:58:49Z
CLS,6415,,,2026-04-27T22:58:49Z
SANM,977,,,2026-04-27T22:58:49Z
KFRC,273,,,2026-04-27T22:58:49Z
ERAS,883,,,2026-04-27T22:58:49Z
RMBS,3144,,,2026-04-27T22:58:49Z
CRMD,23400,,,2026-04-27T22:58:49Z
LC,10844,,,2026-04-27T22:58:49Z
SEI,1394,,,2026-04-27T22:58:49Z
PLNT,6707,,,2026-04-27T22:58:49Z
RVI,1845,,,2026-04-27T22:58:49Z
TMUS,18998,,,2026-04-27T22:58:49Z
XBI,28244,,,2026-04-27T22:58:49Z
RMAX,623,,,2026-04-27T22:58:49Z
ACHR,35697,,,2026-04-27T22:58:49Z
LLY,32387,,,2026-04-27T22:58:49Z
