month,balance_b,exports_b,imports_b,yoy_pct,captured_at
2026-02-01,-57347.00,0.00,0.00,-52.12,2026-04-27T23:12:13Z
2026-01-01,-54677.00,0.00,0.00,-57.39,2026-04-27T23:12:13Z
2025-12-01,-72900.00,0.00,0.00,-24.81,2026-04-27T23:12:13Z
2025-11-01,-56026.00,0.00,0.00,-29.75,2026-04-27T23:12:13Z
2025-10-01,-31102.00,3350.61,4135.58,-58.11,2026-04-27T23:12:13Z
2025-09-01,-49168.00,0.00,0.00,-39.67,2026-04-27T23:12:13Z
2025-08-01,-56011.00,0.00,0.00,-21.35,2026-04-27T23:12:13Z
2025-07-01,-74233.00,3366.87,4123.44,-5.60,2026-04-27T23:12:13Z
2025-06-01,-57637.00,0.00,0.00,-22.00,2026-04-27T23:12:13Z
2025-05-01,-70564.00,0.00,0.00,-5.23,2026-04-27T23:12:13Z
2025-04-01,-60084.00,3267.51,4167.31,-17.82,2026-04-27T23:12:13Z
2025-03-01,-135856.00,0.00,0.00,105.02,2026-04-27T23:12:13Z
2025-02-01,-119780.00,0.00,0.00,80.31,2026-04-27T23:12:13Z
2025-01-01,-128331.00,3293.66,4558.27,91.32,2026-04-27T23:12:13Z
2024-12-01,-96948.00,0.00,0.00,51.75,2026-04-27T23:12:13Z
2024-11-01,-79752.00,0.00,0.00,22.60,2026-04-27T23:12:13Z
2024-10-01,-74250.00,3248.26,4186.92,15.83,2026-04-27T23:12:13Z
2024-09-01,-81498.00,0.00,0.00,36.82,2026-04-27T23:12:13Z
2024-08-01,-71214.00,0.00,0.00,20.37,2026-04-27T23:12:13Z
2024-07-01,-78639.00,3256.49,4194.81,23.34,2026-04-27T23:12:13Z
2024-06-01,-73892.00,0.00,0.00,13.40,2026-04-27T23:12:13Z
2024-05-01,-74456.00,0.00,0.00,13.13,2026-04-27T23:12:13Z
2024-04-01,-73110.00,3192.63,4087.00,2.81,2026-04-27T23:12:13Z
2024-03-01,-66266.00,0.00,0.00,13.11,2026-04-27T23:12:13Z
2024-02-01,-66431.00,0.00,0.00,,2026-04-27T23:12:13Z
2024-01-01,-67077.00,3164.10,3986.58,,2026-04-27T23:12:13Z
2023-12-01,-63888.00,0.00,0.00,,2026-04-27T23:12:13Z
2023-11-01,-65053.00,0.00,0.00,,2026-04-27T23:12:13Z
2023-10-01,-64100.00,3109.63,3897.68,,2026-04-27T23:12:13Z
2023-09-01,-59565.00,0.00,0.00,,2026-04-27T23:12:13Z
2023-08-01,-59165.00,0.00,0.00,,2026-04-27T23:12:13Z
2023-07-01,-63759.00,3082.08,3847.62,,2026-04-27T23:12:13Z
2023-06-01,-65163.00,0.00,0.00,,2026-04-27T23:12:13Z
2023-05-01,-65814.00,0.00,0.00,,2026-04-27T23:12:13Z
2023-04-01,-71110.00,3016.21,3813.70,,2026-04-27T23:12:13Z
2023-03-01,-58587.00,0.00,0.00,,2026-04-27T23:12:13Z
