month,country,imports_usd,exports_usd,trade_balance,captured_at
2025-03,CANADA,35667617565,31790214387,-3877403178,2026-04-27T23:09:37Z
2025-03,CHINA,29383677776,11458167596,-17925510180,2026-04-27T23:09:37Z
2025-03,FRANCE,7797940517,4324367192,-3473573325,2026-04-27T23:09:37Z
2025-03,GERMANY,15654355113,8129428763,-7524926350,2026-04-27T23:09:37Z
2025-03,INDIA,11190013413,3768314751,-7421698662,2026-04-27T23:09:37Z
2025-03,IRELAND,4042003719,8525705013,4483701294,2026-04-27T23:09:37Z
2025-03,JAPAN,13458929708,7290300846,-6168628862,2026-04-27T23:09:37Z
2025-03,MEXICO,47981831804,29362429966,-18619401838,2026-04-27T23:09:37Z
2025-03,NETHERLANDS,7229298640,2914931377,-4314367263,2026-04-27T23:09:37Z
2025-03,SINGAPORE,5638071301,2153289649,-3484781652,2026-04-27T23:09:37Z
2025-03,SOUTH KOREA,243167793,2184893664,1941725871,2026-04-27T23:09:37Z
2025-03,TAIWAN,12403091990,4643211027,-7759880963,2026-04-27T23:09:37Z
2025-03,UNITED KINGDOM,7039225673,8727947071,1688721398,2026-04-27T23:09:37Z
2025-03,VIETNAM,14774718430,1227393228,-13547325202,2026-04-27T23:09:37Z
2025-04,CANADA,29437590305,27179170169,-2258420136,2026-04-27T23:09:37Z
2025-04,CHINA,25378077558,8193071746,-17185005812,2026-04-27T23:09:37Z
2025-04,FRANCE,6547354744,4180572331,-2366782413,2026-04-27T23:09:37Z
2025-04,GERMANY,13169150261,7341475359,-5827674902,2026-04-27T23:09:37Z
2025-04,INDIA,10029196743,3959558643,-6069638100,2026-04-27T23:09:37Z
2025-04,IRELAND,3321998094,8166058092,4844059998,2026-04-27T23:09:37Z
2025-04,JAPAN,13546499442,6830241095,-6716258347,2026-04-27T23:09:37Z
2025-04,MEXICO,41868767207,27845565991,-14023201216,2026-04-27T23:09:37Z
2025-04,NETHERLANDS,6484393572,2985316795,-3499076777,2026-04-27T23:09:37Z
2025-04,SINGAPORE,4730564488,2383246250,-2347318238,2026-04-27T23:09:37Z
2025-04,SOUTH KOREA,243665556,6210058796,5966393240,2026-04-27T23:09:37Z
2025-04,TAIWAN,14613447784,5033833933,-9579613851,2026-04-27T23:09:37Z
2025-04,UNITED KINGDOM,4875463638,9243871913,4368408275,2026-04-27T23:09:37Z
2025-04,VIETNAM,14849592761,1269781384,-13579811377,2026-04-27T23:09:37Z
2025-05,CANADA,30167969870,27410830535,-2757139335,2026-04-27T23:09:37Z
2025-05,CHINA,20493855247,6553325526,-13940529721,2026-04-27T23:09:37Z
2025-05,FRANCE,5156552188,4870441760,-286110428,2026-04-27T23:09:37Z
2025-05,GERMANY,13299877036,6468226424,-6831650612,2026-04-27T23:09:37Z
2025-05,INDIA,9433880053,3819092978,-5614787075,2026-04-27T23:09:37Z
2025-05,IRELAND,3768419686,8534469223,4766049537,2026-04-27T23:09:37Z
2025-05,JAPAN,12010487842,7131562855,-4878924987,2026-04-27T23:09:37Z
2025-05,MEXICO,46342030163,28176989296,-18165040867,2026-04-27T23:09:37Z
2025-05,NETHERLANDS,6382771686,3797078707,-2585692979,2026-04-27T23:09:37Z
2025-05,SINGAPORE,5033347231,2678324886,-2355022345,2026-04-27T23:09:37Z
2025-05,SOUTH KOREA,236565622,3472666153,3236100531,2026-04-27T23:09:37Z
2025-05,TAIWAN,16386489287,4728776378,-11657712909,2026-04-27T23:09:37Z
2025-05,UNITED KINGDOM,4779266178,8079395131,3300128953,2026-04-27T23:09:37Z
2025-05,VIETNAM,15991388747,1263855218,-14727533529,2026-04-27T23:09:37Z
2025-06,CANADA,29687708963,28375181796,-1312527167,2026-04-27T23:09:37Z
2025-06,CHINA,18948674201,9443596095,-9505078106,2026-04-27T23:09:37Z
2025-06,FRANCE,4819599699,3858990819,-960608880,2026-04-27T23:09:37Z
2025-06,GERMANY,11083232738,7323063280,-3760169458,2026-04-27T23:09:37Z
2025-06,INDIA,9153394762,3805796403,-5347598359,2026-04-27T23:09:37Z
2025-06,IRELAND,2442477009,8648853785,6206376776,2026-04-27T23:09:37Z
2025-06,JAPAN,11956415993,6792260419,-5164155574,2026-04-27T23:09:37Z
2025-06,MEXICO,44872766650,28102390983,-16770375667,2026-04-27T23:09:37Z
2025-06,NETHERLANDS,6128228491,4267319581,-1860908910,2026-04-27T23:09:37Z
2025-06,SINGAPORE,5269325492,2197202047,-3072123445,2026-04-27T23:09:37Z
2025-06,SOUTH KOREA,318515817,2172158648,1853642831,2026-04-27T23:09:37Z
2025-06,TAIWAN,16921292655,4292109036,-12629183619,2026-04-27T23:09:37Z
2025-06,UNITED KINGDOM,5209628671,7410660261,2201031590,2026-04-27T23:09:37Z
2025-06,VIETNAM,17715153828,1197305761,-16517848067,2026-04-27T23:09:37Z
2025-07,CANADA,32171990358,26097231053,-6074759305,2026-04-27T23:09:37Z
2025-07,CHINA,26411388670,9298437659,-17112951011,2026-04-27T23:09:37Z
2025-07,FRANCE,5587487191,4706627692,-880859499,2026-04-27T23:09:37Z
2025-07,GERMANY,12826729341,6552687768,-6274041573,2026-04-27T23:09:37Z
2025-07,INDIA,9170575229,3405953625,-5764621604,2026-04-27T23:09:37Z
2025-07,IRELAND,3144392190,7911575414,4767183224,2026-04-27T23:09:37Z
2025-07,JAPAN,12481357695,6897660600,-5583697095,2026-04-27T23:09:37Z
2025-07,MEXICO,45365956017,28990768226,-16375187791,2026-04-27T23:09:37Z
2025-07,NETHERLANDS,7218371987,4115562199,-3102809788,2026-04-27T23:09:37Z
2025-07,SINGAPORE,5086443523,2514713714,-2571729809,2026-04-27T23:09:37Z
2025-07,SOUTH KOREA,257416207,1963106305,1705690098,2026-04-27T23:09:37Z
2025-07,TAIWAN,19505753181,4936451825,-14569301356,2026-04-27T23:09:37Z
2025-07,UNITED KINGDOM,5585882467,6649686213,1063803746,2026-04-27T23:09:37Z
2025-07,VIETNAM,17985402721,1349367813,-16636034908,2026-04-27T23:09:37Z
2025-08,CANADA,29403967920,27186369872,-2217598048,2026-04-27T23:09:37Z
2025-08,CHINA,25132621489,8271881290,-16860740199,2026-04-27T23:09:37Z
2025-08,FRANCE,4653682034,3642598385,-1011083649,2026-04-27T23:09:37Z
2025-08,GERMANY,11146165322,6966958503,-4179206819,2026-04-27T23:09:37Z
2025-08,INDIA,7888672709,3848853301,-4039819408,2026-04-27T23:09:37Z
2025-08,IRELAND,2945533074,8010640592,5065107518,2026-04-27T23:09:37Z
2025-08,JAPAN,11994163161,7058644041,-4935519120,2026-04-27T23:09:37Z
2025-08,MEXICO,45146257797,29249844740,-15896413057,2026-04-27T23:09:37Z
2025-08,NETHERLANDS,5351695357,3564318313,-1787377044,2026-04-27T23:09:37Z
2025-08,SINGAPORE,4407315719,2802296202,-1605019517,2026-04-27T23:09:37Z
2025-08,SOUTH KOREA,374448896,1922895305,1548446409,2026-04-27T23:09:37Z
2025-08,TAIWAN,17735741905,4554256900,-13181485005,2026-04-27T23:09:37Z
2025-08,UNITED KINGDOM,5201741960,5991076128,789334168,2026-04-27T23:09:37Z
2025-08,VIETNAM,16450907627,1412577395,-15038330232,2026-04-27T23:09:37Z
2025-09,CANADA,31905339352,26928224079,-4977115273,2026-04-27T23:09:37Z
2025-09,CHINA,23414653023,8380186570,-15034466453,2026-04-27T23:09:37Z
2025-09,FRANCE,4666513984,4524501555,-142012429,2026-04-27T23:09:37Z
2025-09,GERMANY,11742210952,7262552449,-4479658503,2026-04-27T23:09:37Z
2025-09,INDIA,7431130470,4378602178,-3052528292,2026-04-27T23:09:37Z
2025-09,IRELAND,1805857171,7726619225,5920762054,2026-04-27T23:09:37Z
2025-09,JAPAN,10572933251,7120536690,-3452396561,2026-04-27T23:09:37Z
2025-09,MEXICO,44578393576,27196283885,-17382109691,2026-04-27T23:09:37Z
2025-09,NETHERLANDS,5177553637,5477679090,300125453,2026-04-27T23:09:37Z
2025-09,SINGAPORE,4910690836,2657128114,-2253562722,2026-04-27T23:09:37Z
2025-09,SOUTH KOREA,207828604,3118749794,2910921190,2026-04-27T23:09:37Z
2025-09,TAIWAN,14991279886,4513203371,-10478076515,2026-04-27T23:09:37Z
2025-09,UNITED KINGDOM,5116029081,6401827623,1285798542,2026-04-27T23:09:37Z
2025-09,VIETNAM,17642058744,1129784449,-16512274295,2026-04-27T23:09:37Z
2025-10,CANADA,31120512749,29207036050,-1913476699,2026-04-27T23:09:37Z
2025-10,CHINA,23887245543,8950492697,-14936752846,2026-04-27T23:09:37Z
2025-10,FRANCE,5997212511,4359370958,-1637841553,2026-04-27T23:09:37Z
2025-10,GERMANY,12083483880,6957350798,-5126133082,2026-04-27T23:09:37Z
2025-10,INDIA,7430696971,4524575167,-2906121804,2026-04-27T23:09:37Z
2025-10,IRELAND,2452338417,7526766563,5074428146,2026-04-27T23:09:37Z
2025-10,JAPAN,11993566277,7159843861,-4833722416,2026-04-27T23:09:37Z
2025-10,MEXICO,48524201035,29575129143,-18949071892,2026-04-27T23:09:37Z
2025-10,NETHERLANDS,5672804752,5086298972,-586505780,2026-04-27T23:09:37Z
2025-10,SINGAPORE,4823969694,2510578050,-2313391644,2026-04-27T23:09:37Z
2025-10,SOUTH KOREA,211942590,2896848532,2684905942,2026-04-27T23:09:37Z
2025-10,TAIWAN,22252665135,4832012995,-17420652140,2026-04-27T23:09:37Z
2025-10,UNITED KINGDOM,5030358618,11699702058,6669343440,2026-04-27T23:09:37Z
2025-10,VIETNAM,17802274813,1547857042,-16254417771,2026-04-27T23:09:37Z
2025-11,CANADA,28360209355,25339890556,-3020318799,2026-04-27T23:09:37Z
2025-11,CHINA,20950707190,7008414794,-13942292396,2026-04-27T23:09:37Z
2025-11,FRANCE,6842293457,3658411853,-3183881604,2026-04-27T23:09:37Z
2025-11,GERMANY,13486676491,6814975244,-6671701247,2026-04-27T23:09:37Z
2025-11,INDIA,7236779638,3800043513,-3436736125,2026-04-27T23:09:37Z
2025-11,IRELAND,2551673455,8167620113,5615946658,2026-04-27T23:09:37Z
2025-11,JAPAN,11815332930,7040902211,-4774430719,2026-04-27T23:09:37Z
2025-11,MEXICO,44515678588,26616533491,-17899145097,2026-04-27T23:09:37Z
2025-11,NETHERLANDS,6328797053,3237073773,-3091723280,2026-04-27T23:09:37Z
2025-11,SINGAPORE,5037237224,2144605451,-2892631773,2026-04-27T23:09:37Z
