month,headline_sentiment,expectations,current_conditions,captured_at
2026-03-01,53.3,3.8,0.0,2026-04-27T23:12:12Z
2026-02-01,56.6,3.4,0.0,2026-04-27T23:12:12Z
2026-01-01,56.4,4.0,0.0,2026-04-27T23:12:12Z
2025-12-01,52.9,4.2,0.0,2026-04-27T23:12:12Z
2025-11-01,51.0,4.5,0.0,2026-04-27T23:12:12Z
2025-10-01,53.6,4.6,0.0,2026-04-27T23:12:12Z
2025-09-01,55.1,4.7,0.0,2026-04-27T23:12:12Z
2025-08-01,58.2,4.8,0.0,2026-04-27T23:12:12Z
2025-07-01,61.7,4.5,0.0,2026-04-27T23:12:12Z
2025-06-01,60.7,5.0,0.0,2026-04-27T23:12:12Z
2025-05-01,52.2,6.6,0.0,2026-04-27T23:12:12Z
2025-04-01,52.2,6.5,0.0,2026-04-27T23:12:12Z
2025-03-01,57.0,5.0,0.0,2026-04-27T23:12:12Z
2025-02-01,64.7,4.3,0.0,2026-04-27T23:12:12Z
2025-01-01,71.7,3.3,0.0,2026-04-27T23:12:12Z
2024-12-01,74.0,2.8,0.0,2026-04-27T23:12:12Z
2024-11-01,71.8,2.6,0.0,2026-04-27T23:12:12Z
2024-10-01,70.5,2.7,0.0,2026-04-27T23:12:12Z
2024-09-01,70.1,2.7,0.0,2026-04-27T23:12:12Z
2024-08-01,67.9,2.8,0.0,2026-04-27T23:12:12Z
2024-07-01,66.4,2.9,0.0,2026-04-27T23:12:12Z
2024-06-01,68.2,3.0,0.0,2026-04-27T23:12:12Z
2024-05-01,69.1,3.3,0.0,2026-04-27T23:12:12Z
2024-04-01,77.2,3.2,0.0,2026-04-27T23:12:12Z
