report_date,initial_claims,continuing_claims,covered_employment,insured_unemp_rate,captured_at
2025-03-29,199433,2052390,151830617,1.35,2026-04-27T23:10:02Z
2025-04-05,215772,1979894,151853718,1.30,2026-04-27T23:10:02Z
2025-04-12,220289,1936519,152268756,1.27,2026-04-27T23:10:02Z
2025-04-19,210174,1874338,152265794,1.23,2026-04-27T23:10:02Z
2025-04-26,223384,1891928,152265794,1.24,2026-04-27T23:10:02Z
2025-05-03,206016,1831354,152265794,1.20,2026-04-27T23:10:02Z
2025-05-10,202898,1776541,152265794,1.17,2026-04-27T23:10:02Z
2025-05-17,199966,1773682,152265794,1.16,2026-04-27T23:10:02Z
2025-05-24,209570,1769448,152265794,1.16,2026-04-27T23:10:02Z
2025-05-31,206857,1749344,152265794,1.15,2026-04-27T23:10:02Z
2025-06-07,243394,1820248,152265794,1.20,2026-04-27T23:10:02Z
2025-06-14,234258,1807864,152265794,1.19,2026-04-27T23:10:02Z
2025-06-21,226864,1856437,152265794,1.22,2026-04-27T23:10:02Z
2025-06-28,229634,1894878,152265794,1.24,2026-04-27T23:10:02Z
2025-07-05,240534,1889664,152927179,1.24,2026-04-27T23:10:02Z
2025-07-12,260103,2005740,153125848,1.31,2026-04-27T23:10:02Z
2025-07-19,214748,1999709,153124394,1.31,2026-04-27T23:10:02Z
2025-07-26,193038,1999165,153138672,1.31,2026-04-27T23:10:02Z
2025-08-02,194689,1992968,153155970,1.30,2026-04-27T23:10:02Z
2025-08-09,198584,1966715,153155969,1.28,2026-04-27T23:10:02Z
2025-08-16,193476,1948338,153155969,1.27,2026-04-27T23:10:02Z
2025-08-23,190301,1926595,152655969,1.26,2026-04-27T23:10:02Z
2025-08-30,196016,1884077,152655969,1.23,2026-04-27T23:10:02Z
2025-09-06,204284,1796530,152655969,1.18,2026-04-27T23:10:02Z
2025-09-13,194781,1753149,152655969,1.15,2026-04-27T23:10:02Z
2025-09-20,180264,1712217,152655969,1.12,2026-04-27T23:10:02Z
2025-09-27,178555,1689806,152655969,1.11,2026-04-27T23:10:02Z
2025-10-04,206470,1676683,152710741,1.10,2026-04-27T23:10:02Z
2025-10-11,210105,1645510,152792651,1.08,2026-04-27T23:10:02Z
2025-10-18,204767,1666623,152802936,1.09,2026-04-27T23:10:02Z
2025-10-25,202084,1701047,152802936,1.11,2026-04-27T23:10:02Z
2025-11-01,215159,1705532,152802936,1.12,2026-04-27T23:10:02Z
2025-11-08,237867,1711286,152802936,1.12,2026-04-27T23:10:02Z
2025-11-15,217204,1702412,152802936,1.11,2026-04-27T23:10:02Z
2025-11-22,243772,1774433,152802936,1.16,2026-04-27T23:10:02Z
2025-11-29,197287,1689581,152802936,1.11,2026-04-27T23:10:02Z
2025-12-06,313815,1949178,152802936,1.28,2026-04-27T23:10:02Z
2025-12-13,254238,1863807,152802936,1.22,2026-04-27T23:10:02Z
2025-12-20,263724,1977337,152802936,1.29,2026-04-27T23:10:02Z
2025-12-27,270523,1865091,152802936,1.22,2026-04-27T23:10:02Z
2026-01-03,297561,2174629,152892932,1.42,2026-04-27T23:10:02Z
2026-01-10,329958,2290487,153378614,1.49,2026-04-27T23:10:02Z
2026-01-17,271532,2221829,153381064,1.45,2026-04-27T23:10:02Z
2026-01-24,230861,2130126,153381064,1.39,2026-04-27T23:10:02Z
2026-01-31,252176,2203578,153381064,1.44,2026-04-27T23:10:02Z
2026-02-07,249443,2197161,153381064,1.43,2026-04-27T23:10:02Z
2026-02-14,208946,2194623,153381064,1.43,2026-04-27T23:10:02Z
2026-02-21,193292,2130363,153381064,1.39,2026-04-27T23:10:02Z
2026-02-28,213516,2203571,153381064,1.44,2026-04-27T23:10:02Z
2026-03-07,206542,2130152,153378599,1.39,2026-04-27T23:10:02Z
2026-03-14,190279,2088828,153378599,1.36,2026-04-27T23:10:02Z
2026-03-21,186187,2027746,153378599,1.32,2026-04-27T23:10:02Z
2026-03-28,185628,1999716,153378599,1.30,2026-04-27T23:10:02Z
2026-04-04,200945,1914947,153369765,1.25,2026-04-27T23:10:02Z
2026-04-11,214377,1876897,153609930,1.22,2026-04-27T23:10:02Z
2026-04-18,205824,1843081,153610441,1.20,2026-04-27T23:10:02Z
