recipient,ticker,agency,awards_count,total_usd,largest_usd,largest_award_id,captured_at
THE BOEING COMPANY,BA,National Aeronautics and Space Administration,4,36507211925,22405025934,NAS1510000,2026-04-27T23:03:49Z
"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES, LLC",HON,Department of Energy,1,17272920116,17272920116,DENA0002839,2026-04-27T23:03:49Z
"FLUOR MARINE PROPULSION, LLC",FLR,Department of Energy,1,14773195999,14773195999,89233018CNR000004,2026-04-27T23:03:49Z
"LEIDOS, INC.",LDOS,Social Security Administration,15,7087323865,1063049268,28321322FDS030130,2026-04-27T23:03:49Z
BOOZ ALLEN HAMILTON INC,BAH,General Services Administration,13,4993239581,1095077979,47QFCA22F0047,2026-04-27T23:03:49Z
FLUOR-BWXT PORTSMOUTH LLC,FLR,Department of Energy,1,4465438521,4465438521,DEAC3010CC40017,2026-04-27T23:03:49Z
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",GD,General Services Administration,16,4069069011,832284111,47QFCA21F0051,2026-04-27T23:03:49Z
ACCENTURE FEDERAL SERVICES LLC,ACN,Department of Education,13,3420271046,915470743,91003119F0003,2026-04-27T23:03:49Z
"CACI, INC. - FEDERAL",CACI,General Services Administration,6,3013405564,929117142,47QFCA19F0006,2026-04-27T23:03:49Z
NORTHROP GRUMMAN SYSTEMS CORPORATION,NOC,National Aeronautics and Space Administration,3,2487189804,1574382341,NNH15CN76C,2026-04-27T23:03:49Z
"L3HARRIS TECHNOLOGIES, INC.",LHX,Department of Commerce,4,2458179774,1826088582,DOCDG133E09CN0094,2026-04-27T23:03:49Z
"ORACLE HEALTH GOVERNMENT SERVICES, INC.",ORCL,Department of Veterans Affairs,6,2441954204,1148716940,36C10B22N0051EHRM,2026-04-27T23:03:49Z
RAYTHEON COMPANY,RTX,National Aeronautics and Space Administration,5,1986253385,1224555500,NNG10XA05C,2026-04-27T23:03:49Z
"AT&T ENTERPRISES, LLC",T,Department of Veterans Affairs,2,1425748116,1270450257,36C10A20F0309,2026-04-27T23:03:49Z
"CACI NSS, LLC",CACI,General Services Administration,3,1375049578,740963566,47QFCA21F0087,2026-04-27T23:03:49Z
LOCKHEED MARTIN CORP,LMT,National Aeronautics and Space Administration,2,738327325,437345131,NNG12FD66C,2026-04-27T23:03:49Z
VERIZON BUSINESS NETWORK SERVICES LLC,VZ,Department of Health and Human Services,2,669580563,405021872,75P00120F80177,2026-04-27T23:03:49Z
PARSONS GOVERNMENT SERVICES INC.,PSN,General Services Administration,1,551592131,551592131,47QFCA21F0042,2026-04-27T23:03:49Z
"LOCKHEED MARTIN SERVICES, LLC",LMT,Department of Transportation,1,491510436,491510436,DTFAWA10C00052,2026-04-27T23:03:49Z
"LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",LMT,National Aeronautics and Space Administration,1,360197522,360197522,NNG11FC20C,2026-04-27T23:03:49Z
LEIDOS BIOMEDICAL RESEARCH INC,LDOS,Department of Health and Human Services,1,327127680,327127680,75N91025F00016,2026-04-27T23:03:49Z
"AT&T TECHNICAL SERVICES COMPANY, INC",T,Department of State,1,310933498,310933498,19AQMM21F0420,2026-04-27T23:03:49Z
EMERGENT BIOSOLUTIONS CANADA INC,EBS,Department of Health and Human Services,1,256404564,256404564,75A50119C00075,2026-04-27T23:03:49Z
PALANTIR TECHNOLOGIES INC.,PLTR,Department of Homeland Security,2,245391636,150703825,70CTD022FR0000170,2026-04-27T23:03:49Z
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",GD,Department of Homeland Security,1,242868777,242868777,70Z04421F21002700,2026-04-27T23:03:49Z
GENERAL DYNAMICS ONE SOURCE LLC,GD,General Services Administration,1,224880318,224880318,47QFCA18F0018,2026-04-27T23:03:49Z
HONEYWELL INTERNATIONAL INC,HON,Department of Transportation,1,220166703,220166703,697DCK19F00084,2026-04-27T23:03:49Z
L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,LHX,Department of Homeland Security,1,151915039,151915039,HSCG2315C2DA002,2026-04-27T23:03:49Z
LOCKHEED MARTIN CORPORATION,LMT,National Aeronautics and Space Administration,1,143095852,143095852,NNG04EA00C,2026-04-27T23:03:49Z
TEXTRON AVIATION INC,TXT,Department of Transportation,1,132019405,132019405,6973GH23F01933,2026-04-27T23:03:49Z
RQ-AECOM 2 JV,ACM,Department of Homeland Security,1,86335156,86335156,70Z04721FKWDSCN00,2026-04-27T23:03:49Z
