filed_utc,kind,title,link,summary
2026-04-24T00:00:00Z,ad_china,Tris (Hydroxymethyl) Aminomethane and Tris (Hydroxymethyl) Aminomethane Hydrochloride (“Tris and Tris HCI”) From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations,https://www.federalregister.gov/documents/2026/04/24/2026-07998/tris-hydroxymethyl-aminomethane-and-tris-hydroxymethyl-aminomethane-hydrochloride-tris-and-tris-hci,"The Commission hereby gives notice of the institution of investigations and commencement of preliminary phase antidumping and countervailing duty investigation Nos. 701-TA-793 and 731-TA-1789 (Preliminary) pursuant to the Tariff Act of 1930 to determine whether there is a reasonable indication that an industry in the United States is materially injured or threatened with material injury, or the..."
2026-04-23T00:00:00Z,public_interest_comment,Notice of Receipt of Complaint; Solicitation of Comments Relating to the Public Interest,https://www.federalregister.gov/documents/2026/04/23/2026-07962/notice-of-receipt-of-complaint-solicitation-of-comments-relating-to-the-public-interest,"Notice is hereby given that the U.S. International Trade Commission has received a complaint entitled Certain Energy Drinks and Labeling and Packaging Thereof, DN 3902; the Commission is soliciting comments on any public interest issues raised by the complaint or complainant's filing pursuant to the Commission's Rules of Practice and Procedure."
2026-04-23T00:00:00Z,ad_china,Lithium Hexafluorophosphate From China,https://www.federalregister.gov/documents/2026/04/23/2026-07875/lithium-hexafluorophosphate-from-china,"On April 14, 2026, the Department of Commerce and the Commission received a letter from petitioner in the subject investigations, Mexichem Fluor Inc. dba Orbia Fluor & Energy Materials, Boston, Massachusetts, withdrawing its petitions. Commerce has not initiated investigations as provided for in sections 702(c) and 732(c) of the Tariff Act of 1930 (19 U.S.C. 1671a(c) and 1673a(c)). Accordingly,..."
2026-04-22T00:00:00Z,section_337_ip,"Certain Electric Aircraft, Power Systems for Electric Aircraft, and Components Thereof; Notice of Investigation; Correction",https://www.federalregister.gov/documents/2026/04/22/2026-07784/certain-electric-aircraft-power-systems-for-electric-aircraft-and-components-thereof-notice-of,Correction is made to the scope of investigation on the delegation of public interest.
2026-04-22T00:00:00Z,itc_general,Certain Light-Based Physiological Measurement Devices and Components Thereof; Notice of a Commission Determination Not To Review a Combined Recommended Determination on Modification and Enforcement Initial Determination; Termination of Proceeding,https://www.federalregister.gov/documents/2026/04/22/2026-07779/certain-light-based-physiological-measurement-devices-and-components-thereof-notice-of-a-commission,"Notice is hereby given that the U.S. International Trade Commission (""Commission"") has determined not to review a combined recommended determination on modification and enforcement initial determination (""EID"") of the presiding administrative law judge (""ALJ""), finding that the accused redesigned products do not infringe the asserted patents, and therefore, they should not be excluded pursuant to..."
2026-04-22T00:00:00Z,steel_aluminum,Steel Concrete Reinforcing Bar From Algeria; Determination,https://www.federalregister.gov/documents/2026/04/22/2026-07778/steel-concrete-reinforcing-bar-from-algeria-determination,
2026-04-21T00:00:00Z,itc_general,Recommended Modifications in the Harmonized Tariff Schedule,https://www.federalregister.gov/documents/2026/04/21/2026-07753/recommended-modifications-in-the-harmonized-tariff-schedule,"The Commission is seeking comments from interested Federal agencies and the public regarding proposed Commission recommendations to the President with respect to modifications to the U.S. Harmonized Tariff Schedule (HTS). The modifications would conform the HTS to recommended amendments adopted by the World Customs Organization (WCO) and that are scheduled to enter into force on January 1, 2028."
2026-04-21T00:00:00Z,ad_china,Passenger Vehicle and Light Truck (PVLT) Tires From China; Scheduling of Expedited Five-Year Reviews,https://www.federalregister.gov/documents/2026/04/21/2026-07693/passenger-vehicle-and-light-truck-pvlt-tires-from-china-scheduling-of-expedited-five-year-reviews,"The Commission hereby gives notice of the scheduling of expedited reviews pursuant to the Tariff Act of 1930 (""the Act"") to determine whether revocation of the antidumping duty and countervailing duty orders on passenger vehicle and light truck (PVLT) tires from China would be likely to lead to continuation or recurrence of material injury within a reasonably foreseeable time."
2026-04-21T00:00:00Z,ad_china,"Wood Mouldings and Millwork Products From China, Scheduling of Expedited Five-Year Reviews",https://www.federalregister.gov/documents/2026/04/21/2026-07684/wood-mouldings-and-millwork-products-from-china-scheduling-of-expedited-five-year-reviews,"The Commission hereby gives notice of the scheduling of expedited reviews pursuant to the Tariff Act of 1930 (""the Act"") to determine whether revocation of the antidumping duty order and countervailing duty order on wood mouldings and millwork products from China would be likely to lead to continuation or recurrence of material injury within a reasonably foreseeable time."
2026-04-20T00:00:00Z,ad_other,Oleoresin Paprika From India; Scheduling of the Final Phase of Countervailing Duty and Antidumping Duty Investigations,https://www.federalregister.gov/documents/2026/04/20/2026-07611/oleoresin-paprika-from-india-scheduling-of-the-final-phase-of-countervailing-duty-and-antidumping,"The Commission hereby gives notice of the scheduling of the final phase of antidumping and countervailing duty investigation Nos. 701-TA-771 and 731-TA-1755 (Final) pursuant to the Tariff Act of 1930 to determine whether an industry in the United States is materially injured or threatened with material injury, or the establishment of an industry in the United States is materially retarded, by..."
2026-04-17T00:00:00Z,section_337_ip,"Certain Crafting Machines and Components Thereof; Notice of a Commission Determination To Review in Part a Final Initial Determination Finding a Violation of Section 337; Request for Written Submissions on Remedy, the Public Interest, and Bonding",https://www.federalregister.gov/documents/2026/04/17/2026-07511/certain-crafting-machines-and-components-thereof-notice-of-a-commission-determination-to-review-in,"Notice is hereby given that the U.S. International Trade Commission has determined to review in part the presiding administrative law judge's (""ALJ"") final initial determination (""ID"") finding a violation of section 337 in the above-captioned investigation. The Commission requests written submissions from the parties, interested government agencies, and interested persons on the issues of remedy,..."
2026-04-17T00:00:00Z,section_337_ip,Certain Motorized Self-Balancing Vehicles; Notice of Request for Submissions on the Public Interest,https://www.federalregister.gov/documents/2026/04/17/2026-07506/certain-motorized-self-balancing-vehicles-notice-of-request-for-submissions-on-the-public-interest,"Notice is hereby given that on April 10, 2026, the presiding administrative law judge (""ALJ"") issued an Initial Determination on Violation of Section 337. The ALJ also issued a Recommended Determination on remedy and bonding should a violation be found in the above-captioned investigation. The Commission is soliciting submissions on public interest issues raised by the recommended relief should..."
2026-04-16T00:00:00Z,ad_other,Commodity Matchbooks From India; Scheduling of Expedited Five-Year Reviews,https://www.federalregister.gov/documents/2026/04/16/2026-07449/commodity-matchbooks-from-india-scheduling-of-expedited-five-year-reviews,"The Commission hereby gives notice of the scheduling of expedited reviews pursuant to the Tariff Act of 1930 (""the Act"") to determine whether revocation of the antidumping duty and countervailing duty orders on commodity matchbooks from India would be likely to lead to continuation or recurrence of material injury within a reasonably foreseeable time."
2026-04-16T00:00:00Z,itc_general,Truck Bed Covers From China,https://www.federalregister.gov/documents/2026/04/16/2026-07339/truck-bed-covers-from-china,
2026-04-14T00:00:00Z,critical_mineral,Large Diameter Graphite Electrodes From China and India; Determinations,https://www.federalregister.gov/documents/2026/04/14/2026-07220/large-diameter-graphite-electrodes-from-china-and-india-determinations,
2026-04-14T00:00:00Z,ad_other,Frozen Fish Fillets From Vietnam; Scheduling of an Expedited Five-Year Review,https://www.federalregister.gov/documents/2026/04/14/2026-07215/frozen-fish-fillets-from-vietnam-scheduling-of-an-expedited-five-year-review,"The Commission hereby gives notice of the scheduling of an expedited review pursuant to the Tariff Act of 1930 (""the Act"") to determine whether revocation of the antidumping duty order on frozen fish fillets from Vietnam would be likely to lead to continuation or recurrence of material injury within a reasonably foreseeable time."
2026-04-14T00:00:00Z,section_337_ip,"Certain Electric Aircraft, Power Systems for Electric Aircraft, and Components Thereof",https://www.federalregister.gov/documents/2026/04/14/2026-07152/certain-electric-aircraft-power-systems-for-electric-aircraft-and-components-thereof,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on March 10, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of Archer Aviation Inc. of San Jose, California. A supplement to the complaint was filed on March 19, 2026. The complaint, as supplemented, alleges violations of section 337 based upon the importation into the United..."
2026-04-14T00:00:00Z,ad_china,"Tin Mill Products From China, Taiwan, and Turkey; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations",https://www.federalregister.gov/documents/2026/04/14/2026-07146/tin-mill-products-from-china-taiwan-and-turkey-institution-of-antidumping-and-countervailing-duty,"The Commission hereby gives notice of the institution of investigations and commencement of preliminary phase antidumping and countervailing duty investigation Nos. 701-TA-792 and 731-TA-1786-1788 (Preliminary) pursuant to the Tariff Act of 1930 to determine whether there is a reasonable indication that an industry in the United States is materially injured or threatened with material injury, or..."
2026-04-14T00:00:00Z,section_337_ip,Certain Over-the-Counter Topical Lidocaine Patches; Notice of Institution of Investigation,https://www.federalregister.gov/documents/2026/04/14/2026-07145/certain-over-the-counter-topical-lidocaine-patches-notice-of-institution-of-investigation,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on March 10, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of J.A.R. Laboratories LLC of Lake Forest, Illinois. Supplements to the complaint were filed on March 23, 2026 and March 30, 2026. The complaint, as supplemented, alleges violations of section 337 based upon the..."
