filed,kind,title,url,captured_at
2009-07-20T18:28:39Z,press,Weekly Trade Focus: APEC,https://ustr.gov/about-us/policy-offices/press-office/blog/weekly-trade-focus-apec,2026-04-27T22:57:32
2026-04-24T18:59:59Z,section_301,Public Hearings Regarding Section 301 Investigations Relating to Failures to Take Action on Forced Labor,https://ustr.gov/about/policy-offices/press-office/press-releases/2026/april/public-hearings-regarding-section-301-investigations-relating-failures-take-action-forced-labor,2026-04-27T22:57:32
2026-04-24T14:26:56Z,press,Ambassador Jamieson Greer Announces United States-European Union Action Plan for Critical Minerals Supply Chain Resilience,https://ustr.gov/about/policy-offices/press-office/press-releases/2026/april/ambassador-jamieson-greer-announces-united-states-european-union-action-plan-critical-minerals,2026-04-27T22:57:32
2026-04-23T22:01:59Z,reciprocal,President Trump’s Trade Policy is Delivering for the American People,https://ustr.gov/about/policy-offices/press-office/press-releases/2026/april/president-trumps-trade-policy-delivering-american-people,2026-04-27T22:57:32
2026-04-22T21:19:17Z,testimony,Opening Statement by Ambassador Jamieson Greer Before the House Ways and Means Committee,https://ustr.gov/about/policy-offices/congressional-affairs/congressional-hearings-and-testimony/2026/opening-statement-ambassador-jamieson-greer-house-ways-and-means-committee,2026-04-27T22:57:32
2026-04-20T22:03:55Z,usmca,Joint Statement from Ambassador Jamieson Greer and Mexican Secretary of Economy Marcelo Ebrard,https://ustr.gov/about/policy-offices/press-office/press-releases/2026/april/joint-statement-ambassador-jamieson-greer-and-mexican-secretary-economy-marcelo-ebrard,2026-04-27T22:57:32
2026-04-17T15:30:48Z,section_122,Opening Statement of Ambassador Jamieson Greer Before the House Appropriations Committee,https://ustr.gov/about/policy-offices/congressional-affairs/congressional-hearings-and-testimony/2026/opening-statement-ambassador-jamieson-greer-house-appropriations-committee,2026-04-27T22:57:32
2026-04-16T20:47:09Z,usmca,"United States Seeks Mexico’s Review of Alleged Denial of Workers’ Rights at Latex Occidental, S.A. de C.V.",https://ustr.gov/node/14307,2026-04-27T22:57:32
2026-04-16T16:37:21Z,press,2026,https://ustr.gov/about/policy-offices/congressional-affairs/congressional-hearings-and-testimony/2026,2026-04-27T22:57:32
2026-04-15T16:03:07Z,testimony,Opening Statement of Jeffrey Goettman Before the Senate Finance Committee,https://ustr.gov/about/policy-offices/congressional-affairs/congressional-hearings-and-testimony/2025/opening-statement-jeffrey-goettman-senate-finance-committee,2026-04-27T22:57:32
