date,vix,vxn,vxd,vix9d,vix3mo,skew,term_inversion
2026-04-24,18.71,23.38,18.53,,21.3,,
2026-04-23,19.31,23.32,17.96,,21.48,,
2026-04-22,18.92,23.58,18.89,,21.24,,
2026-04-21,19.5,23.8,18.27,,21.51,,
2026-04-20,18.87,22.93,17.35,,21.24,,
2026-04-17,17.48,21.57,16.83,,20.51,,
2026-04-16,17.94,22.18,16.44,,20.77,,
2026-04-15,18.17,22.25,17.35,,20.78,,
2026-04-14,18.36,21.8,17.03,,20.82,,
2026-04-13,19.12,22.19,17.67,,21.34,,
2026-04-10,19.23,23.09,17.99,,21.86,,
2026-04-09,19.49,23.5,17.69,,21.81,,
2026-04-08,21.04,25.24,19.26,,22.68,,
2026-04-07,25.78,28.43,23.11,,25.57,,
2026-04-06,24.17,27.39,22.21,,24.77,,
2026-04-02,23.87,27.04,21.92,,24.72,,
2026-04-01,24.54,27.56,22.39,,24.86,,
2026-03-31,25.25,28.24,23.65,,25.55,,
2026-03-30,30.61,33.26,29.83,,29.13,,
2026-03-27,31.05,33.54,31.8,,29.27,,
2026-03-26,27.44,29.86,32.17,,27.16,,
2026-03-25,25.33,27.65,25.01,,25.63,,
2026-03-24,26.95,28.74,25.37,,26.56,,
2026-03-23,26.15,27.98,24.66,,26.1,,
2026-03-20,26.78,29.2,24.69,,27.43,,
2026-03-19,24.06,26.9,22.23,,25.54,,
2026-03-18,25.09,27.72,25.21,,26.56,,
2026-03-17,22.37,24.66,21.2,,24.33,,
2026-03-16,23.51,26.32,22.51,,24.92,,
2026-03-13,27.19,29.87,26.58,,27.28,,
2026-03-12,27.29,29.83,25.69,,26.95,,
2026-03-11,24.23,26.82,25.07,,24.97,,
2026-03-10,24.93,27.33,24.9,,25.51,,
2026-03-09,25.5,27.69,32.6,,25.34,,
2026-03-06,29.49,31.44,34.22,,27.56,,
2026-03-05,23.75,26.0,21.83,,23.86,,
2026-03-04,21.15,24.87,21.77,,22.29,,
2026-03-03,23.57,27.51,23.39,,23.54,,
2026-03-02,21.44,25.4,22.3,,22.44,,
2026-02-27,19.86,24.52,21.21,,21.56,,
