pub_date,title,category,url,captured_at
2026-04-27T20:35:53Z,Nominations and Withdrawals Sent to the Senate,Nominations & Appointments,https://www.whitehouse.gov/presidential-actions/2026/04/nominations-and-withdrawals-sent-to-the-senate-d935/,2026-04-27T23:04:07Z
2026-04-21T18:49:23Z,Nominations Sent to the Senate,Nominations & Appointments,https://www.whitehouse.gov/presidential-actions/2026/04/nominations-sent-to-the-senate-633f/,2026-04-27T23:04:07Z
2026-04-20T20:25:21Z,"Presidential Determination Pursuant to Section 303 of the Defense Production Act of 1950, as Amended, on Grid Infrastructure, Equipment, and Supply Chain Capacity",Presidential Memoranda,https://www.whitehouse.gov/presidential-actions/2026/04/presidential-determination-pursuant-to-section-303-of-the-defense-production-act-of-1950-as-amended-on-grid-infrastructure-equipment-and-supply-chain-capacity/,2026-04-27T23:04:07Z
2026-04-20T20:18:42Z,"Presidential Determination Pursuant to Section 303 of the Defense Production Act of 1950, as Amended, on Development, Manufacturing, and Deployment of Large-Scale Energy and Energy‑Related Infrastruct",Presidential Memoranda,https://www.whitehouse.gov/presidential-actions/2026/04/presidential-determination-pursuant-to-section-303-of-the-defense-production-act-of-1950-as-amended-on-development-manufacturing-and-deployment-of-large-scale-energy-and-energy-related-inf/,2026-04-27T23:04:07Z
2026-04-20T20:18:11Z,"Presidential Determination Pursuant to Section 303 of the Defense Production Act of 1950, as Amended, on Natural Gas Transmission, Processing, Storage, and Liquefied Natural Gas Capacity",Presidential Memoranda,https://www.whitehouse.gov/presidential-actions/2026/04/presidential-determination-pursuant-to-section-303-of-the-defense-production-act-of-1950-as-amended-on-natural-gas-transmission-processing-storage-and-liquefied-natural-gas-capacity/,2026-04-27T23:04:07Z
2026-04-20T20:15:57Z,"Presidential Determination Pursuant to Section 303 of the Defense Production Act of 1950, as Amended, on Coal Supply Chains and Baseload Power Generation Capacity",Presidential Memoranda,https://www.whitehouse.gov/presidential-actions/2026/04/presidential-determination-pursuant-to-section-303-of-the-defense-production-act-of-1950-as-amended-on-coal-supply-chains-and-baseload-power-generation-capacity/,2026-04-27T23:04:07Z
2026-04-20T20:14:13Z,"Presidential Determination Pursuant to Section 303 of the Defense Production Act of 1950, as Amended, on Domestic Petroleum Production, Refining, and Logistics Capacity",Presidential Memoranda,https://www.whitehouse.gov/presidential-actions/2026/04/presidential-determination-pursuant-to-section-303-of-the-defense-production-act-of-1950-as-amended-on-domestic-petroleum-production-refining-and-logistics-capacity/,2026-04-27T23:04:07Z
2026-04-20T20:13:36Z,"Presidential Determination Concerning the Air Force’s Jet Fighter Training Operations in Idaho, Oregon, and Nevada",Presidential Memoranda,https://www.whitehouse.gov/presidential-actions/2026/04/presidential-determination-concerning-the-air-forces-jet-fighter-training-operations-in-idaho-oregon-and-nevada/,2026-04-27T23:04:07Z
2026-04-18T14:07:18Z,Accelerating Medical Treatments for Serious Mental Illness,Executive Orders,https://www.whitehouse.gov/presidential-actions/2026/04/accelerating-medical-treatments-for-serious-mental-illness/,2026-04-27T23:04:07Z
2026-04-15T20:31:09Z,"Presidential Permit: Authorizing Enbridge Energy, Limited Partnership to Operate and Maintain Three Existing Pipeline Facilities at Pembina County, North Dakota, at the International Boundary Between ",Presidential Memoranda,https://www.whitehouse.gov/presidential-actions/2026/04/presidential-permit-authorizing-enbridge-energy-limited-partnership-to-operate-and-maintain-three-existing-pipeline-facilities-at-pembina-county-north-dakota-at-the-international-boundary-between/,2026-04-27T23:04:07Z
