incident_name,state,size_acres,cause,discovery_date,containment_pct,is_complex,category,captured_at
Pineland Rd,US-GA,32331,Undetermined,2026-04-18T19:30:00Z,10,0,WF,2026-04-27T23:10:59Z
Hwy 82,US-GA,22600,Undetermined,2026-04-20T20:00:00Z,6,0,WF,2026-04-27T23:10:59Z
Qury,US-SD,9168,Undetermined,2026-03-12T19:16:00Z,95,0,WF,2026-04-27T23:10:59Z
139,US-FL,6499,Natural,2026-03-17T16:27:00Z,50,0,WF,2026-04-27T23:10:59Z
79,US-SD,5408,Undetermined,2026-04-11T17:04:06Z,100,0,WF,2026-04-27T23:10:59Z
Bauman,US-SD,3178,Natural,2026-04-23T01:15:10Z,60,0,WF,2026-04-27T23:10:59Z
Hummingbird,US-NM,2673,Natural,2026-04-20T22:41:00Z,0,0,WF,2026-04-27T23:10:59Z
Sargent,US-FL,2523,Undetermined,2026-04-02T19:51:00Z,81,0,WF,2026-04-27T23:10:59Z
Mill Pond,US-FL,1760,Human,2026-03-19T17:54:00Z,85,0,WF,2026-04-27T23:10:59Z
Williams Creek,US-AL,1650,Human,2026-04-05T01:19:00Z,100,0,WF,2026-04-27T23:10:59Z
Schwachheim,US-CO,1582,Natural,2026-04-12T20:45:00Z,100,0,WF,2026-04-27T23:10:59Z
East Side,US-MT,1219,Undetermined,2026-04-20T18:34:00Z,31,0,WF,2026-04-27T23:10:59Z
STE - Alum,US-KY,1100,Human,2026-04-12T11:22:17Z,93,0,WF,2026-04-27T23:10:59Z
Foster Bridge,US-FL,675,Human,2026-02-12T16:44:00Z,100,0,WF,2026-04-27T23:10:59Z
Appalachia,US-TN,650,Human,2026-04-14T18:02:00Z,100,0,WF,2026-04-27T23:10:59Z
Woodlawn,US-SC,632,Undetermined,2026-03-13T22:36:00Z,99,0,WF,2026-04-27T23:10:59Z
Smoke Show,US-MS,500,Undetermined,2026-04-11T23:54:02Z,,0,WF,2026-04-27T23:10:59Z
Bills Branch,US-FL,478,Human,2026-02-14T15:25:00Z,100,0,WF,2026-04-27T23:10:59Z
Murphy,US-SD,423,Undetermined,2026-04-23T06:41:02Z,90,0,WF,2026-04-27T23:10:59Z
Red Stone,US-SD,371,Natural,2026-04-23T01:15:28Z,100,0,WF,2026-04-27T23:10:59Z
Hancock,US-FL,359,Undetermined,2026-03-23T16:30:00Z,100,0,WF,2026-04-27T23:10:59Z
Lemon,US-ND,300,Undetermined,2026-04-22T20:45:00Z,,0,WF,2026-04-27T23:10:59Z
Lemon 2,US-ND,300,Undetermined,2026-04-23T02:00:00Z,65,0,WF,2026-04-27T23:10:59Z
Tusas,US-NM,233,Undetermined,2026-04-22T21:59:00Z,100,0,WF,2026-04-27T23:10:59Z
Patriot,US-MA,200,Human,2026-04-14T16:15:49Z,99,0,WF,2026-04-27T23:10:59Z
Gun Range,US-FL,129,Undetermined,2026-04-19T20:13:00Z,60,0,WF,2026-04-27T23:10:59Z
Deep Creek,US-SD,112,Natural,2026-04-23T01:35:00Z,,0,WF,2026-04-27T23:10:59Z
