country,year,gdp_usd_trillion,real_growth_pct,captured_at
AUS,2021,1.561,2.01,2026-04-27T23:12:41Z
AUS,2022,1.696,4.25,2026-04-27T23:12:41Z
AUS,2023,1.734,3.58,2026-04-27T23:12:41Z
AUS,2024,1.757,1.37,2026-04-27T23:12:41Z
BRA,2021,1.671,4.76,2026-04-27T23:12:41Z
BRA,2022,1.952,3.02,2026-04-27T23:12:41Z
BRA,2023,2.191,3.24,2026-04-27T23:12:41Z
BRA,2024,2.186,3.42,2026-04-27T23:12:41Z
CAN,2021,2.022,5.95,2026-04-27T23:12:41Z
CAN,2022,2.190,4.19,2026-04-27T23:12:41Z
CAN,2023,2.173,1.53,2026-04-27T23:12:41Z
CAN,2024,2.244,1.55,2026-04-27T23:12:41Z
CHE,2021,0.815,5.56,2026-04-27T23:12:41Z
CHE,2022,0.829,3.04,2026-04-27T23:12:41Z
CHE,2023,0.894,0.68,2026-04-27T23:12:41Z
CHE,2024,0.937,1.30,2026-04-27T23:12:41Z
CHN,2021,18.202,8.57,2026-04-27T23:12:41Z
CHN,2022,18.317,3.13,2026-04-27T23:12:41Z
CHN,2023,18.270,5.41,2026-04-27T23:12:41Z
CHN,2024,18.744,4.98,2026-04-27T23:12:41Z
DEU,2021,4.355,3.91,2026-04-27T23:12:41Z
DEU,2022,4.201,1.81,2026-04-27T23:12:41Z
DEU,2023,4.562,-0.87,2026-04-27T23:12:41Z
DEU,2024,4.686,-0.50,2026-04-27T23:12:41Z
ESP,2021,1.461,6.68,2026-04-27T23:12:41Z
ESP,2022,1.449,6.37,2026-04-27T23:12:41Z
ESP,2023,1.619,2.46,2026-04-27T23:12:41Z
ESP,2024,1.726,3.46,2026-04-27T23:12:41Z
FRA,2021,2.966,6.88,2026-04-27T23:12:41Z
FRA,2022,2.795,2.72,2026-04-27T23:12:41Z
FRA,2023,3.056,1.44,2026-04-27T23:12:41Z
FRA,2024,3.160,1.19,2026-04-27T23:12:41Z
GBR,2021,3.195,8.54,2026-04-27T23:12:41Z
GBR,2022,3.181,5.15,2026-04-27T23:12:41Z
GBR,2023,3.421,0.27,2026-04-27T23:12:41Z
GBR,2024,3.686,1.13,2026-04-27T23:12:41Z
IND,2021,3.167,9.69,2026-04-27T23:12:41Z
IND,2022,3.346,7.61,2026-04-27T23:12:41Z
IND,2023,3.638,9.19,2026-04-27T23:12:41Z
IND,2024,3.910,6.49,2026-04-27T23:12:41Z
ITA,2021,2.179,8.93,2026-04-27T23:12:41Z
ITA,2022,2.104,4.82,2026-04-27T23:12:41Z
ITA,2023,2.317,0.98,2026-04-27T23:12:41Z
ITA,2024,2.381,0.69,2026-04-27T23:12:41Z
JPN,2021,5.039,2.70,2026-04-27T23:12:41Z
JPN,2022,4.262,0.94,2026-04-27T23:12:41Z
JPN,2023,4.213,1.48,2026-04-27T23:12:41Z
JPN,2024,4.028,0.10,2026-04-27T23:12:41Z
KOR,2021,1.942,4.61,2026-04-27T23:12:41Z
KOR,2022,1.799,2.73,2026-04-27T23:12:41Z
KOR,2023,1.845,1.58,2026-04-27T23:12:41Z
KOR,2024,1.875,2.00,2026-04-27T23:12:41Z
MEX,2021,1.317,6.05,2026-04-27T23:12:41Z
MEX,2022,1.467,3.71,2026-04-27T23:12:41Z
MEX,2023,1.798,3.35,2026-04-27T23:12:41Z
MEX,2024,1.856,1.43,2026-04-27T23:12:41Z
NLD,2021,1.054,6.28,2026-04-27T23:12:41Z
NLD,2022,1.047,5.01,2026-04-27T23:12:41Z
NLD,2023,1.135,-0.60,2026-04-27T23:12:41Z
NLD,2024,1.215,1.08,2026-04-27T23:12:41Z
RUS,2021,1.829,5.87,2026-04-27T23:12:41Z
RUS,2022,2.292,-1.44,2026-04-27T23:12:41Z
RUS,2023,2.072,4.08,2026-04-27T23:12:41Z
RUS,2024,2.174,4.34,2026-04-27T23:12:41Z
SAU,2021,0.983,6.52,2026-04-27T23:12:41Z
SAU,2022,1.239,12.00,2026-04-27T23:12:41Z
SAU,2023,1.219,0.54,2026-04-27T23:12:41Z
SAU,2024,1.240,2.00,2026-04-27T23:12:41Z
SWE,2021,0.632,5.23,2026-04-27T23:12:41Z
SWE,2022,0.575,1.26,2026-04-27T23:12:41Z
SWE,2023,0.579,-0.20,2026-04-27T23:12:41Z
SWE,2024,0.604,0.82,2026-04-27T23:12:41Z
TUR,2021,0.840,11.81,2026-04-27T23:12:41Z
TUR,2022,0.926,5.44,2026-04-27T23:12:41Z
TUR,2023,1.141,5.05,2026-04-27T23:12:41Z
TUR,2024,1.359,3.33,2026-04-27T23:12:41Z
USA,2021,23.315,6.06,2026-04-27T23:12:41Z
USA,2022,25.605,2.51,2026-04-27T23:12:41Z
USA,2023,27.292,2.89,2026-04-27T23:12:41Z
USA,2024,28.751,2.79,2026-04-27T23:12:41Z
