country_code,country_name,year,gdp_growth_pct,captured_at
US,United States,2024,2.793,2026-04-27T23:10:09Z
US,United States,2023,2.888,2026-04-27T23:10:09Z
US,United States,2022,2.512,2026-04-27T23:10:09Z
TR,Turkey,2024,3.328,2026-04-27T23:10:09Z
TR,Turkey,2023,5.045,2026-04-27T23:10:09Z
TR,Turkey,2022,5.441,2026-04-27T23:10:09Z
SE,Sweden,2024,0.820,2026-04-27T23:10:09Z
SE,Sweden,2023,-0.204,2026-04-27T23:10:09Z
SE,Sweden,2022,1.255,2026-04-27T23:10:09Z
SA,Saudi Arabia,2024,1.997,2026-04-27T23:10:09Z
SA,Saudi Arabia,2023,0.543,2026-04-27T23:10:09Z
SA,Saudi Arabia,2022,12.001,2026-04-27T23:10:09Z
RU,Russia,2024,4.344,2026-04-27T23:10:09Z
RU,Russia,2023,4.083,2026-04-27T23:10:09Z
RU,Russia,2022,-1.436,2026-04-27T23:10:09Z
NL,Netherlands,2024,1.081,2026-04-27T23:10:09Z
NL,Netherlands,2023,-0.598,2026-04-27T23:10:09Z
NL,Netherlands,2022,5.007,2026-04-27T23:10:09Z
MX,Mexico,2024,1.427,2026-04-27T23:10:09Z
MX,Mexico,2023,3.354,2026-04-27T23:10:09Z
MX,Mexico,2022,3.710,2026-04-27T23:10:09Z
KR,Korea,2024,2.004,2026-04-27T23:10:09Z
KR,Korea,2023,1.583,2026-04-27T23:10:09Z
KR,Korea,2022,2.728,2026-04-27T23:10:09Z
JP,Japan,2024,0.104,2026-04-27T23:10:09Z
JP,Japan,2023,1.475,2026-04-27T23:10:09Z
JP,Japan,2022,0.942,2026-04-27T23:10:09Z
IT,Italy,2024,0.693,2026-04-27T23:10:09Z
IT,Italy,2023,0.976,2026-04-27T23:10:09Z
IT,Italy,2022,4.821,2026-04-27T23:10:09Z
IN,India,2024,6.495,2026-04-27T23:10:09Z
IN,India,2023,9.191,2026-04-27T23:10:09Z
IN,India,2022,7.609,2026-04-27T23:10:09Z
ID,Indonesia,2024,5.030,2026-04-27T23:10:09Z
ID,Indonesia,2023,5.049,2026-04-27T23:10:09Z
ID,Indonesia,2022,5.307,2026-04-27T23:10:09Z
GB,United Kingdom,2024,1.126,2026-04-27T23:10:09Z
GB,United Kingdom,2023,0.272,2026-04-27T23:10:09Z
GB,United Kingdom,2022,5.150,2026-04-27T23:10:09Z
FR,France,2024,1.190,2026-04-27T23:10:09Z
FR,France,2023,1.439,2026-04-27T23:10:09Z
FR,France,2022,2.717,2026-04-27T23:10:09Z
ES,Spain,2024,3.455,2026-04-27T23:10:09Z
ES,Spain,2023,2.461,2026-04-27T23:10:09Z
ES,Spain,2022,6.370,2026-04-27T23:10:09Z
DE,Germany,2024,-0.496,2026-04-27T23:10:09Z
DE,Germany,2023,-0.870,2026-04-27T23:10:09Z
DE,Germany,2022,1.809,2026-04-27T23:10:09Z
CN,China,2024,4.977,2026-04-27T23:10:09Z
CN,China,2023,5.415,2026-04-27T23:10:09Z
CN,China,2022,3.134,2026-04-27T23:10:09Z
CH,Switzerland,2024,1.302,2026-04-27T23:10:09Z
CH,Switzerland,2023,0.683,2026-04-27T23:10:09Z
CH,Switzerland,2022,3.044,2026-04-27T23:10:09Z
CA,Canada,2024,1.555,2026-04-27T23:10:09Z
CA,Canada,2023,1.529,2026-04-27T23:10:09Z
CA,Canada,2022,4.189,2026-04-27T23:10:09Z
BR,Brazil,2024,3.419,2026-04-27T23:10:09Z
BR,Brazil,2023,3.242,2026-04-27T23:10:09Z
BR,Brazil,2022,3.017,2026-04-27T23:10:09Z
AU,Australia,2024,1.373,2026-04-27T23:10:09Z
AU,Australia,2023,3.584,2026-04-27T23:10:09Z
AU,Australia,2022,4.253,2026-04-27T23:10:09Z
