country_iso3,country_name,year,reserves_usd_bn,current_account_usd_bn,captured_at
AUS,Australia,2021,57.88,38.19,2026-04-27T22:50:26Z
AUS,Australia,2022,56.70,4.31,2026-04-27T22:50:26Z
AUS,Australia,2023,61.70,-7.51,2026-04-27T22:50:26Z
AUS,Australia,2024,60.40,-39.34,2026-04-27T22:50:26Z
BRA,Brazil,2021,362.21,-39.40,2026-04-27T22:50:26Z
BRA,Brazil,2022,324.67,-41.96,2026-04-27T22:50:26Z
BRA,Brazil,2023,355.02,-27.07,2026-04-27T22:50:26Z
BRA,Brazil,2024,329.73,-66.17,2026-04-27T22:50:26Z
CAN,Canada,2021,106.62,-0.44,2026-04-27T22:50:26Z
CAN,Canada,2022,106.95,-9.73,2026-04-27T22:50:26Z
CAN,Canada,2023,117.55,-15.24,2026-04-27T22:50:26Z
CAN,Canada,2024,119.78,-11.07,2026-04-27T22:50:26Z
CHN,China,2021,3427.93,352.89,2026-04-27T22:50:26Z
CHN,China,2022,3306.84,443.37,2026-04-27T22:50:26Z
CHN,China,2023,3449.54,263.38,2026-04-27T22:50:26Z
CHN,China,2024,3456.02,423.92,2026-04-27T22:50:26Z
DEU,Germany,2021,295.74,301.39,2026-04-27T22:50:26Z
DEU,Germany,2022,293.91,161.76,2026-04-27T22:50:26Z
DEU,Germany,2023,322.70,251.48,2026-04-27T22:50:26Z
DEU,Germany,2024,377.94,272.31,2026-04-27T22:50:26Z
FRA,France,2021,244.28,7.25,2026-04-27T22:50:26Z
FRA,France,2022,242.42,-40.03,2026-04-27T22:50:26Z
FRA,France,2023,240.79,-31.88,2026-04-27T22:50:26Z
FRA,France,2024,282.86,2.69,2026-04-27T22:50:26Z
GBR,United Kingdom,2021,194.18,-24.05,2026-04-27T22:50:26Z
GBR,United Kingdom,2022,176.41,-65.77,2026-04-27T22:50:26Z
GBR,United Kingdom,2023,177.92,-122.35,2026-04-27T22:50:26Z
GBR,United Kingdom,2024,174.60,-109.91,2026-04-27T22:50:26Z
IND,India,2021,638.48,-33.42,2026-04-27T22:50:26Z
IND,India,2022,567.30,-79.05,2026-04-27T22:50:26Z
IND,India,2023,627.79,-31.96,2026-04-27T22:50:26Z
IND,India,2024,643.04,-32.02,2026-04-27T22:50:26Z
ISR,Israel,2021,212.93,14.80,2026-04-27T22:50:26Z
ISR,Israel,2022,194.23,14.13,2026-04-27T22:50:26Z
ISR,Israel,2023,204.66,15.72,2026-04-27T22:50:26Z
ISR,Israel,2024,214.54,15.48,2026-04-27T22:50:26Z
JPN,Japan,2021,1405.75,196.53,2026-04-27T22:50:26Z
JPN,Japan,2022,1227.57,90.21,2026-04-27T22:50:26Z
JPN,Japan,2023,1294.64,156.96,2026-04-27T22:50:26Z
JPN,Japan,2024,1230.67,189.75,2026-04-27T22:50:26Z
KOR,"Korea, Rep.",2021,463.28,83.88,2026-04-27T22:50:26Z
KOR,"Korea, Rep.",2022,423.37,23.24,2026-04-27T22:50:26Z
KOR,"Korea, Rep.",2023,420.93,32.53,2026-04-27T22:50:26Z
KOR,"Korea, Rep.",2024,418.22,99.97,2026-04-27T22:50:26Z
MEX,Mexico,2021,207.80,-4.49,2026-04-27T22:50:26Z
MEX,Mexico,2022,201.12,-18.69,2026-04-27T22:50:26Z
MEX,Mexico,2023,214.32,-12.54,2026-04-27T22:50:26Z
MEX,Mexico,2024,232.04,-16.70,2026-04-27T22:50:26Z
RUS,Russian Federation,2021,632.24,124.95,2026-04-27T22:50:26Z
RUS,Russian Federation,2022,581.71,237.73,2026-04-27T22:50:26Z
RUS,Russian Federation,2023,597.22,49.40,2026-04-27T22:50:26Z
RUS,Russian Federation,2024,608.36,62.57,2026-04-27T22:50:26Z
SAU,Saudi Arabia,2021,473.89,44.91,2026-04-27T22:50:26Z
SAU,Saudi Arabia,2022,478.23,145.34,2026-04-27T22:50:26Z
SAU,Saudi Arabia,2023,457.95,25.95,2026-04-27T22:50:26Z
SAU,Saudi Arabia,2024,463.87,-16.25,2026-04-27T22:50:26Z
TUR,Turkiye,2021,111.18,-6.22,2026-04-27T22:50:26Z
TUR,Turkiye,2022,128.74,-46.28,2026-04-27T22:50:26Z
TUR,Turkiye,2023,140.87,-41.47,2026-04-27T22:50:26Z
TUR,Turkiye,2024,155.55,-10.41,2026-04-27T22:50:26Z
USA,United States,2021,716.15,-858.63,2026-04-27T22:50:26Z
USA,United States,2022,706.64,-993.14,2026-04-27T22:50:26Z
USA,United States,2023,773.43,-928.02,2026-04-27T22:50:26Z
USA,United States,2024,910.04,-1185.29,2026-04-27T22:50:26Z
ZAF,South Africa,2021,57.60,15.84,2026-04-27T22:50:26Z
ZAF,South Africa,2022,60.55,-1.21,2026-04-27T22:50:26Z
ZAF,South Africa,2023,62.49,-4.21,2026-04-27T22:50:26Z
ZAF,South Africa,2024,65.43,-2.58,2026-04-27T22:50:26Z
