month,zori_usd,zori_mom,zori_yoy_pct,captured_at
2026-03-01,1910.42,0.57,1.84,2026-04-27T23:01:53Z
2026-02-01,1899.58,0.38,1.91,2026-04-27T23:01:53Z
2026-01-01,1892.44,0.07,1.97,2026-04-27T23:01:53Z
2025-12-01,1891.14,-0.24,2.12,2026-04-27T23:01:53Z
2025-11-01,1895.64,-0.30,2.23,2026-04-27T23:01:53Z
2025-10-01,1901.31,-0.19,2.34,2026-04-27T23:01:53Z
2025-09-01,1904.92,-0.07,2.33,2026-04-27T23:01:53Z
2025-08-01,1906.24,0.06,2.38,2026-04-27T23:01:53Z
2025-07-01,1905.09,0.19,2.49,2026-04-27T23:01:53Z
2025-06-01,1901.44,0.34,2.70,2026-04-27T23:01:53Z
2025-05-01,1894.92,0.47,2.89,2026-04-27T23:01:53Z
2025-04-01,1886.10,0.55,3.02,2026-04-27T23:01:53Z
2025-03-01,1875.85,0.63,3.06,2026-04-27T23:01:53Z
2025-02-01,1864.02,0.44,3.00,2026-04-27T23:01:53Z
2025-01-01,1855.92,0.22,2.98,2026-04-27T23:01:53Z
2024-12-01,1851.89,-0.13,2.93,2026-04-27T23:01:53Z
2024-11-01,1854.34,-0.19,2.92,2026-04-27T23:01:53Z
2024-10-01,1857.82,-0.20,2.82,2026-04-27T23:01:53Z
2024-09-01,1861.62,-0.01,2.83,2026-04-27T23:01:53Z
2024-08-01,1861.88,0.17,2.86,2026-04-27T23:01:53Z
2024-07-01,1858.78,0.40,2.93,2026-04-27T23:01:53Z
2024-06-01,1851.41,0.52,3.00,2026-04-27T23:01:53Z
2024-05-01,1841.78,0.60,2.86,2026-04-27T23:01:53Z
2024-04-01,1830.75,0.58,2.91,2026-04-27T23:01:53Z
2024-03-01,1820.14,0.58,2.93,2026-04-27T23:01:53Z
2024-02-01,1809.73,0.42,3.06,2026-04-27T23:01:53Z
2024-01-01,1802.13,0.16,3.01,2026-04-27T23:01:53Z
2023-12-01,1799.18,-0.14,2.96,2026-04-27T23:01:53Z
2023-11-01,1801.65,-0.29,2.94,2026-04-27T23:01:53Z
2023-10-01,1806.82,-0.19,2.89,2026-04-27T23:01:53Z
2023-09-01,1810.33,0.02,2.83,2026-04-27T23:01:53Z
2023-08-01,1810.05,0.24,2.92,2026-04-27T23:01:53Z
2023-07-01,1805.78,0.47,3.24,2026-04-27T23:01:53Z
2023-06-01,1797.42,0.38,3.78,2026-04-27T23:01:53Z
2023-05-01,1790.64,0.66,4.64,2026-04-27T23:01:53Z
2023-04-01,1778.90,0.60,5.18,2026-04-27T23:01:53Z
